header	text	verdict	link
Как войти в IT в настоящее время? Расскажу об обучении на инженера по тестированию и немного о специфике профессии.	"По своей основной профессии , и в этой сфере я проработала почти 4 года. Работала я в одной компании, куда устроилась сразу после окончания универа, переехав из регионального города в Москву. Пришла я на должность специалиста, а ушла ведущим специалистом. О смене профессии я начала задумываться уже через несколько лет работы в энергетике. Но у меня был чудесный руководитель и хороший коллектив, поэтому я так долго просидела на этом месте. На то было множество причин: медленный карьерный и финансовый рост, узкая специализация(из-за чего сменить работу при желании не так-то просто), отсутствие удаленного или хотя бы гибридного формата работы, сложность профессии, мужчины в данной профессии ценятся больше, нежели женщины. На самом деле, большинство ребят, кто закончил со мной университет либо не стали работать по профессии, либо ушли из сферы энергетики в другие области. Тех, кто остался в этой сфере из моих знакомых, можно пересчитать по пальцам. Почти все мои друзья ушли в сферу IT, и нет ни одного человека, кто бы сейчас жалел о своем выборе. И самый главный пример для меня - мой муж, который также сменил профессию и стал разработчиком. Я долгое время отрицала сферу IT, мне почему-то казалось, что это не мое. Я пробовала себя в других направлениях, например, получила образование по дизайну интерьеров. Но все было не то. И в результате я все-таки решила попробовать себя в этом направлении. мне казалось, что тестировщиком стать проще, нежели разработчиком. само направление тестирования по описанию показалось мне интересным. Плюс одна моя хорошая знакомая с недавних пор стала тестировщицей, и она положительно отзывалась об этой профессии. обучение тестированию занимает меньше времени, нежели обучение на разработчика. Сейчас же, уже пройдя обучение, я вижу другие весомые плюсы данной профессии, но об этом расскажу уже ближе к концу данного отзыва. На самом деле я долго выбирала курсы и изучила весь рынок бесплатных и платных материалов вдоль и поперек. И вам советую поступать так же, не стоит слепо доверять и вестись на имя. То же касается и Яндекс Практикума. Сейчас у Яндекса уже около 100 направлений обучения, новые курсы растут как на дрожжах, и соответственно не все они хорошо обкатаны. Но если курс сырой, то он должен пройти множество потоков студентов, прежде чем стать хорошим. , поэтому программа курса на данный момент уже хорошо обкатана, и по отзывам данный курс многие хвалят и рекомендуют. И я Для некоторых обучение в Яндекс Практикум- удовольствие не из дешевых. И есть другие достойные курсы по более бюджетным ценам, я тут не буду их называть, но если вдруг кому-то будет интересно, я с радостью отвечу, к чему можно присмотреться. Как я уже упомянула ранее, я выбрала Я оформляла покупку курса в конце июля прошлого года, и на тот момент цена составляла 72 тыс. руб. при единовременной оплате и 76 тыс. руб. при помесячной оплате (4 платежа по 19 тыс. руб.) Я бы рекомендовала брать именно помесячную оплату, так как если вдруг вам обучение не понравится, то вы не потеряете всю сумму. У Яндекса есть также Он включает в себя ту же программу только в более умеренном темпе изучения + какую-то программу по автоматизации на Python и Git. Мне кажется, что 9 месяцев - это очень уж долго, а автоматизацию и git можно изучить отдельно. И сейчас также появился какой-то , раньше его не было. Не берусь за него ничего говорить. Все курсы построены по-разному, поэтому тут речь будет идти именно про курс ""Инженер по тестированию"". - отдельные фиксированное промежутки времени, за которые необходимо выполнить заранее определенный объем работ. Это классный подход, так как в большинстве компаний команды разработки работают именно по спринтам. То есть вас с самого начала начинают погружать в нужную атмосферу. . каждый, и результатом такого спринта должен быть выполненный проект, и , так как не включает в себя проект. Этого времени маловато для написания диплома, поэтому советую последний курс пройти побыстрее, чтобы на диплом осталось побольше времени. Яндекс дает следующие рекомендации при прохождении спринта: около 1 недели выделять на прохождение теории и 2 недели тратить на написание проекта и доработку исправлений после отправки. В течение спринтов проходят вебинары, как отдельно группой с вашим наставником, так и для всего потока с отдельными наставниками. Вам предоставят календарь, который можно будет встроить в своем телефоне, чтобы ничего не забыть и не пропустить. - вы успеваете отправить проект в течение текущего спринта. При выполнении этого условия вам дается две доработки проекта после проверок их ревьюерами. - необходимо сдать проект не позднее двух недель после прохождения спринта. При выполнении этого условия вам дается одна доработка проекта после проверки его ревьером. Если вам не засчитывают проект, или же вы не успеваете выполнить его в указанные сроки, то , чтобы продолжить обучение со следующим потоком. В этом нет ничего страшного, но единственный момент, который необходимо знать- в академе вы продолжаете помесячно оплачивать свое обучение. Это не значит, что вы заплатите больше положенного, просто всю стоимость за обучение выплатите до окончания своего обучения. После проверки вашего проекта на почту приходит уведомляющее сообщение. Если все отлично, то на экране будет гифка веселой девушки: Если замечания еще присутствуют, то гифка серьезной озадаченной женщины: , в Яндексе он называется когортой, На один поток выделяются: Общение со всеми этими людьми проходит в чатах в специальном мессенджере. Во время моего обучения-это был Slack, сейчас же используют Пачку. Также в мессенджере создаются отдельные чаты для коммуникации с вашими сокурсниками и чат с рекомендациями литературы. Я всегда сидела только в одном, где происходит общение с наставником по проекту. Для общения один инициативный человек у нас создал другой менее формальный чат в тг, где мы общались и даже сейчас продолжаем общаться с сокурсниками. Как я уже упомянула ранее, курс делится на 5 спринтов, и сейчас я в нескольких словах расскажу о каждом из них. Все спринты идут от простого к более сложному. На этом спринте рассматривается базовая теория, необходимая для проектирования тестов. Рассматривается процесс разработки, анализ, декомпозиция и инструменты для визуализации требований, основные техники тест-дизайна, виды и особенности тестовой документации. В результате, в проекте вам необходимо будет проанализировать требования и создать mind map на их основе, создать блок схему для одной из функциональностей, выделить тестовые данные с применением техник тест-дизайн и написать свои первые тест-кейсы. Тут мы рассматриваем особенности тестирования веб приложений: изучаем важные инструменты тестировщика DevTools и Charles, изучаем такие понятия как кроссбраузерное и кроссплатформенное тестирование, рассматриваем особенности тестирования верстки, изучаем макеты приложений с помощью Figma. В результате, составляем чек-лист на проверку верстки одного из учебных приложений Яндекс, составляем тест-кейсы для проверки логики одной из функциональностей, производим проверки по написанной документации и заводим баг-репорты по найденным дефектам. И также используем DevTools и Charles для подмены ответов от бэкенда. Тут мы рассматриваем особенности клиент-серверной архитектуры, архитектурные решения API, учимся работать с Postman для тестирования API, изучаем особенности тестирования мобильных приложений и работу в Android Studio. В результате, мы тестируем новую функциональность с помощью API и тестируем новую версию мобильного приложения для Android, для найденных дефектов составляем баг-репорты. В данном спринте мы узнаем виды базы баз данных и учимся составлять SQL- запросы, а также изучаем работу с командной строкой. В проекте придется анализировать логи на удаленном сервере, используя командную строку, а также составлять SQL- запросы для анализа данных в базе. Тут рассматриваются основы автоматизация тестирования на Java Script. Я осталась очень довольна обучением. Я не писала свой отзыв сразу, так как хотела сначала немного поработать, попроходить собеседования, чтобы в полной мере оценить обучение. Поэтому пишу отзыв спустя полгода после окончания обучения. Своего мнения я не изменила и обучением я осталась довольна. Но тут с оговорками. Обучение дает лишь необходимый базис, но он совсем не достаточный. Если вы рассчитываете, что после обучения работодатели будут выстраиваться в очередь за вами, то это не так. Нужно будет постоянно прокачивать свои навыки и знания, чтобы выделяться из толпы других таких же. По факту никаких интересных вакансий вам там не предложат, но предоставят неплохие уроки по составлению резюме и поиску работы. Но проходить программу стоит сразу, как вам начинают ее предлагать. Я боялась, что на прохождение у меня не будет времени, так как там, как и на основном обучении, нужно выполнять домашние задания. В итоге следующий поток мне пришлось ждать долго, а к тому моменту, я уже и сама изучила всю нужную мне информацию. Итак, Я думала, что мой главный недостаток - отсутствие навыка прохождения собеседований. И наивно полагала, что нужно немного потерпеть, попозориться некоторое время на собеседованиях, но в результате я перестану стрессовать и найду таки свое место работы. При этом, как я думала, у меня неплохое резюме. У меня есть частично релевантный опыт, на своем прошлом месте работы я также немного тестировала ПО и взаимодействовала с командой разработки, у меня высшее техническое образование, диплом переводчика, а хорошее знание английского- неплохой плюс в сфере It. с которой столкнулось большинство моих сокурсников. Честно, я столько не отправила. но меня позвали только на одно собеседование, и оно связано с моей прошлой деятельностью. и взяли меня туда во многом благодаря моему прошлому опыту работы. Не место работы моей мечты, но мне предложили хорошую зп для новичка, и я зацепилась за это место ради набора опыта. На самом деле Например, ребят с моего потока, кто работал в банковской сфере, охотно взяли в эту же сферу тестировщиками, так как они знают специфику. Я проработала на своем первом месте почти 4 месяца, и чуть меньше месяца назад уволилась. Да, у меня была неплохая зп, но никаких плюшек сферы It и почти никакого развития, как тестировщика. Поэтому я решила искать новое место работы. На протяжении нескольких месяцев ежедневно после работы я изучала язык программирования Python, сейчас начала изучать инструменты автоматизации на нем. И это мне помогло сейчас при поиске работы. даже от начинающего специалиста. И вот даже с таким небольшим опытом работы и новыми знаниями за 2 недели поисков работы я получила 2 оффера и еще пару предложений о прохождении собеседований, от которых я отказалась. Да, как начинающему специалисту зарплату предлагают небольшую, но меня это не пугает. Для меня сейчас первостепенно получение опыта, а зарплата в сфере IT может расти быстро в зависимости от твоих навыков. Нужно быть готовым к тому, что вы будете стучаться во все двери, а вам будут приходить отказы или игнор. Но у меня есть одно интересное замечание. В данной ветке я прочитала отзыв другой девушки, которая написала, что быстро нашла первое место работы, и не понимает откуда люди вообще находят 100, 200, 1000 вакансий для откликов. Исходя из этих слов, я делаю вывод, что девушка живет в регионе. Мы с сокурсниками тоже обсуждали данный вопрос, и пришли к выводу, что в регионе при наличии IT-компаний найти работу может быть, действительно, проще. Тому пример моя подруга из моего родного города, которая тоже отучилась в Яндексе на тестировщика. Мы начали одновременно искать работу, я в Москве, она в регионе. Она отправила 10 откликов и получила работу после первого же собеседования. на каждую вакансию по статистике 500 и более откликов, и возможность, что из этой толпы заметят именно тебя при прочих равных условиях, очень мала. Но зато вакансий, действительно, может быть 1000."	1	https://irecommend.ru/content/kak-voiti-v-it-v-nastoyashchee-vremya-rasskazhu-ob-obuchenii-na-inzhenera-po-testirovaniyu-i
Думаете в 45 поздно менять жизнь, ну или очень сложно? А вот и НЕТ.	В свои 45 я успел много всего попробовать, но решиться в корне изменить свою жизнь и освоить абсолютно новую профессию, о таком я и не думал до тех пор, пока не наткнулся на Яндекс:практикум. Что мешает нам стать другими? Получающими удовольствие от своей работы, испытывающими настоящее счастье от осознания приносимой пользы другим людям, живущими в гармонии со своим внутренним Я. В первую очередь СТРАХ. Страх быть не понятым. Страх выглядеть глупым. Страх начинать что-то с начала. Насколько смелее мы становимся в любом деле, когда рядом друзья. Когда есть руки, которые подхватят тебя, если ты споткнулся, накинут плед и нальют горячего чаю, если ты замерз, поддержат, когда теряешь надежду, ну или дадут волшебного пендаля, если решишь качественно полениться. Именно таких друзей я нашел в Практикуме.Я каждую минуту чувствую, что я не один. Мы вместе меняем свои жизни, учимся чему-то абсолютно новому для себя. И это не только мои однокурсники, но и коллектив Яндекса. Всегда рядом, в любую минуту готовы помочь, поддержать и направить. Направить грамотно, внимательно и аккуратно. И это для меня самое главное. Я верю в себя, верю в нашу команду, верю в наставников. Вместе с этим я получаю глубокие и по настоящему серьезные знания и реальный опыт разработки. Очень грамотно построенная система учебы в специальном приложении, которое требовательнее любого профессора, но при этом с постоянной человеческой и душевной помощью от наставника и куратора нашего курса. Без капли сомнений рекомендую курсы любому, кто готов изменить свою жизнь и открыть для себя мир IT.	1	https://irecommend.ru/content/dumaete-v-45-pozdno-menyat-zhizn-nu-ili-ochen-slozhno-vot-i-net
Великолепный образовательный проект	Хочу поделиться своим опытом обучения в Yandex Praktikum. Мне 36 лет, я гуманитарий, закончил университет по специальности политология, однако меня с самого детства интересовали IT технологии и сообщество людей, которые, благодаря своему интеллекту, вводят новые стандарты и технологии в повседневную жизнь. Я не застал fidonet, но застал dail-up модемы и netscape. Моя профессиональная жизнь шла своим чередом, я стал управленцем: работал как в государственных компаниях, так и в частных и в каждой осваивал производственные процессы во всей их глубине, ведь для того, чтобы понять, как работает подчиненный необходимо иметь критерии оценки и специфику сферы деятельности. Знакомство с курсами и обучающими программами в сфере IT я начал еще в детстве, когда брал уроки Turbo Pascal, потом Учебно-производственная практика по HTML, Visual С++, незаконченные курсы Системного Администратора. И ни одни из этих занятий не привели к формированию устойчивых профессиональных навыков: материал подавался либо слишком просто, либо настолько вычурно и сложно. Знания не были выстраивались в систему ни в одном месте не обучали технологии работы, инфраструктуре. И вот, в очередной переломный момент жизни, моя супруга предложила мне попробовать ещё раз. Я прошёл два бесплатных курса - на бэкенд и на фронтэнд. Признаться, бэкенд курс мне понравился больше: Python очень элегантный язык, а бесплатный курс остроумный и отнюдь не вводный, а скорее полноценный тест драйв. Он построен таким образом, чтобы ощутить все возможности и глубину изучаемых технологий. Но, так как я решил сменить сферу работы, я просмотрел количество вакансий и решил, что сначала лучше освоить Фронтэнд, тем более, что в этом курсе учат и серверной части тоже. Так я стал студентом 22 потока по специальности Веб разработчик. На данный момент я с уверенностью могу сказать, что это - лучший прикладной обучающий проект из известных мне. Сразу, с первого спринта студента вводят в рабочую инфраструктуру: общение в профессиональном мессенджере Slack, курс по Git, растянутый на всё обучение, работа над курсовыми в великолепном Visual Studio. Многие жалуются на тренажер. Да, он иногда глючит, техподдержка работает, но меня расстроил, например момент, что поддержка не хочет поддерживать полноценную работу на ОС Windows 7 (отнюдь не самой старой). Некоторые Java скрипты и видео в тренажере не грузятся. Однако поддержка работает как часы и на само прохождение эти моменты не влияют. Все непонятные моменты можно обсудить в специальной теме в Slack и они решаются очень быстро. Подача материала в курсе в основном хорошая, то, что сделан акцент на самостоятельную работу. Так это во всех курсах так, без исключения. Но тут учат этой самостоятельной работе, дают методику. Наставник даёт большое количество дополнительных теоретических материалов и с ним можно обсуждать все нюансы практических работ. Да, по правилам наставник отвечает в течение 24 часов, но по факту наш наставник постоянно на связи и общение происходит непрерывно. Кроме того, старший студент также оказывает помощь, так как часто причина ошибки - банальная невнимательность. Но самое главное достоинство Yandex Praktikum, на мой взгляд - организация практических работ. Они оправдывают каждый потраченный на обучение рубль. Я прошёл два спринта, сделал один законченный проект. И именно код ревью - привел в меня в восторг. Код ревьювер, человек, который читает буквально каждую строчку кода и у него есть свое мнение о том, каким образом проект должен выглядеть в целом. Да, всего 4 попытки, да - многие ошибки - просто невнимательность. Но именно код ревью заставляет не просто механически отрабатывать задания по брифу, а начинать думать как разработчик. Почему я решил использовать этот способ реализации идеи дизайнера, а не другим. Будет ли удобен сайт людям с ограниченными возможностями? Удобен ли код для чтения другими разработчиками? По правилам код ревью занимает до суток, на деле мне -за 2-3 часа. Я даже удивляюсь, как можно успеть проверить все и сделать грамотные замечания за такой срок. Вебинары проходят дважды в неделю, основные - live coding, когда берется задача, похожая на ту, которую необходимо выполнить в практической работе и специалист (как правило наставник одной из групп) за время вебинара её выполняет в коде. При этом комментирует каждый шаг и отвечает на вопросы группы. Вебинары учат образу мышления и по сути это практические занятия от работающих в сфере IT специалистов. Кроме того в курсе видна общая методологическая идея, что очень круто. То есть, это не просто набор теоретических упражнений и практических работ: первая работа была разжевана донельзя, до каждого мельчайшего шага; во брифе ко второй - умалчивались многие моменты и было намного больше пространства для различных способов реализации (и для ошибок, конечно). В дальнейших заданиях по верстке, насколько я понимаю, работа будет проводиться по рельным дизайн-макетам в Figma. То есть сложность материала и практических заданий идет по нарастающей и за всем этим я вижу методологическую мысль, чего часто так не хватает техническим курсам, сделанным для прикладного изучения какой-либо профессии. Так что, я доволен, что получаю образовательный опыт в Yandex Praktikum и с удовольствием рекомендую этот проект широкой аудитории.	1	https://irecommend.ru/content/velikolepnyi-obrazovatelnyi-proekt
Яндекс.Практикум помог мне стать Frontend-разработчиком.	"Мне 33 года. И теперь я начинающий Frontend-разработчик. А полтора года назад я работал монтажником в посёлке. И в один прекрасный день решил стать программистом. Больше месяца читал статьи, смотрел видео, и думал, с чего начать - выбрал направление Front-end. Курсы покупать не хотел. Скачал разные материалы, учился по ним, читал книги. За пол года такого режима далеко не ушёл. Хромала дисциплина. Решил - Хватит блуждать в море информации, нужно приобрести курсы. Целый месяц выбирал какие. Куда податься. Читал и смотрел отзывы. Пробовал, то, что бесплатно. И путём поисков и анализа выбрал Яндекс.Практикум. Подход к обучению понравился - по типу: ""Учись сам, а мы покажем нужное направление и поддержим в случае упадка настроя"" Дают материалы по обучению, уроки в тренажёре и практическую работу. Тренажёр глючный, вымораживал временами, помогала тех.поддержка, которая реагировала быстро. Но к счастью тренажёр - это очень малая часть. Практические работы занимают примерно 90% времени обучения. Есть мягкие и жёсткие дедлайны. Просто так по курсу тебя не протащат, потому что заплатил. Если вовремя не сдал работу - академ на 1 месяц, ещё раз не сдал - отчисление. Это пугает, но дисциплинирует. Работу проверяют, говорят, что нужно исправить. А как? - ищи сам - материалы даны, примеры из тренажёра тоже. Периодически это раздражает, но зато воспитывает умение находить ответы на вопросы самостоятельно, что, как говорят, пригодится в будущем. Можно спросить совета у однокурсников в slack-канале, наставники там тоже есть, и активно помогают в случае реального затруднения. Помощь всегда есть. Было так, что тему не понимал совсем. Наставник объяснял на разных примерах. Советовал материал к прочтению. Времени нужно много. Пишут, что 2 часа в день хватит. Кому как, а я сидел по 3 - 5 часов пять дней в неделю, чтобы поспеть за программой. После обучения помогли составить резюме, подробно рассказали, как искать работу, как общаться с работодателем и проходить собеседование. После обучения помогают найти работу, предлагают участие в различных проектах, конкурсах и хакатонах. База дана хорошая, на её основании можно построить то, что захочешь."	1	https://irecommend.ru/content/yandekspraktikum-pomog-mne-stat-frontend-razrabotchikom
Учеба в Я.Практикуме – лучшее мое решение за последнее время!	Я учусь на курсе «Дизайнер интерфейсов» уже почти два месяца и пока мне все очень нравится! Не буду писать о том, как именно устроена учеба, так как в других отзывах информация исчерпывающая. Напишу о том, почему же я так довольна своим выбором) Итак, я работаю графическим дизайнером уже довольно долгое время, и за последние несколько лет прочувствовала на себе что такое «выгорание». Решила, что оставлять такую профессию будет довольно глупым поступком, потому что дизайн – это то, что я действительно люблю. Вспомнив, сколько удовольствия мне приносила моя работа раньше, я осознала свой «кризис», а любой кризис – это точка роста) Так что я решила себя расшевелить и сместить своё внимание на смежную область – веб-дизайн. Я выбрала Практикум и очень этому рада) Курс классный! Вообще, меня сначала очень сильно смутили негативные отзывы, но по моему субъективному мнению теперь я думаю, что писали их люди, склонные перекладывать за свою жизнь ответственность на все и на всех. Если вы хотите учиться – вы научитесь! И вам обязательно помогут это сделать в кратчайшие сроки) Да, вам придётся читать учебник, да, вам придётся делать много заданий, да, вам нужно будет смотреть много дополнительных материалов по СОБСТВЕННОМУ желанию для лучшего понимания темы (это вообще, по-моему, норма жизни – интересоваться изучаемой темой не только в рамках одного «учебника»). Но как иначе-то? Тот уровень самостоятельности, который предоставляют в практикуме, гораздо ниже уровня, который вам предоставит работодатель) Так что, кто не привык что-то узнавать сам, у вас будет возможность прокачать такой скилл) Учусь в 24 когорте, в желтой группе 💛 Команда моего потока очень отзывчивая, ребята всегда со всем помогают, все объясняют. Наставник – вообще золотой человек! За эти полтора месяца я узнала очень много новой и ценной информации, касающейся того, делать проект. Даже не технической (хотя, фигма для меня засияла новыми красками), а именно стратегической – с чего начать, как собрать правильный мудборд, из каких этапов вообще состоит создание сайта. Эти знания помогают делать дизайн осознанно! Формат учебника действительно очень комфортный - можешь читать его в любое удобное для себя время) А вебинары очень гармонично разбавляют текстовую информацию) В общем, я рада, что являюсь студенткой Практикума) Каждый день себя благодарю за решение пойти сюда учиться) Минусы встречаются, но они мелкие и больше касаются технической части. Но все эти минусы тут же перекрываются отзывчивой поддержкой) Вообще, минусы есть везде – идеала не существует. И если постоянно за эти минусы цепляться, то жизнь превратиться в бесконечную череду разочарований. Не надо так) По поводу времени – если вы прям новички в дизайне, закладывайте раза в 2 больше, чем указано у ребят) Учеба будет горячей ❤️‍🔥 На данный момент я окончила 3 спринт и с нетерпением жду 4! Скорее бы) Если возникнут вопросы – задавайте, отвечу с удовольствием! P.s. Обязательно ещё буду дополнять свой отзыв)	1	https://irecommend.ru/content/ucheba-v-yapraktikume-luchshee-moe-reshenie-za-poslednee-vremya
Полезно	"Учился в Нетологии полтора года, не скажу , что стал профессионалом но кое чему научился, а главное получил знание в среде программирование и её основам! В общем советую кто ищет навыки в интернете и повешение квалификации. Хорошие координаторы, есть много отличных преподавателей, а если честно, как и в других образовательных учреждений, есть принципиальные и ""ненавистные"" учителя, но их единицы) в основном хорошая поставленная координируемая база, много учебных сред и приложений. Записался на другой курс продолжаю учится на этой платформе. А кто хочет тот научится, платформа Нетологии мотивирует к поискам знаний и здесь надо реально учится, познавать, искать и трудиться. Терпение и Труд всё перетрут!"	1	https://irecommend.ru/content/polezno-277
