header	text	verdict	link
обман	"Приобретался курс за 120к ""сетевой инженер"", который делился на 3 части: 1. Подготовительная часть (2 месяца) - которая была мною пройдена. Далее началась 2. Специализация (7 месяцев) на программиста (аналитика). На вопрос: когда же начнется программа ""сетевой инженер?"" Ответили: Чтобы перейти к технологической специализации Сетевой инженер, вам нужно изучить специализации Программирование и Аналитика. 7 месяцев изучать то, в чем, в принципе, нет необходимости для роста по специальности ""сетевой инженер"" очень странно. Считаю GeekBrains не выполнили свои обязательства в надлежащем виде, буду пытаться вернуть деньги."	0	https://irecommend.ru/content/obman-1046
Отличная онлайн школа IT!	Geekbrains - отличное место для обучения! Программа была содержательной и интересной. Преподаватели делились ценным опытом и всегда готовы помочь. Практические задания и проекты позволили применить знания на практике. Я получил уверенность в своих тестировочных навыках и научился работать с различными инструментами. Сейчас чувствую себя готовым к профессиональной карьере тестировщика. Большое спасибо школе за ценный опыт и знания! Рекомендую всем, кто хочет успешно начать свой путь в тестировании.	1	https://irecommend.ru/content/otlichnaya-onlain-shkola-it
Нравится	Прохожу уже не первый курс на ГБ, обучение нравится. Для тех, кто хочет сидеть на попе ровно, получать в клювик знания и работу на блюдечке - это не волшебная таблетка от всех болезней! Считаю, что знания, полученные здесь, не уступают по качеству знаниям в ВУЗах. Проблем находить подработку по новой специальности мне не сложно, я не жду что-то от ГБ (подработка - и была целью обучения).	1	https://irecommend.ru/content/nravitsya-1251
Годовой курс по Дизайну Интерфейсов	Второй раз пытаюсь пройти курс по дизайну интерфейсов, который купила больше года назад. В прошлую мою попытку пройти, у меня просто не хватило моральных сил и времени, чтобы выполнять все те задания, которые они дают. При этом, в процессе длиннющих видео уроков вам рассказывают вводную теоретическую информацию, которую вы могли слышать уже кучу раз, а по теме урока не сказать почти ничего. После выполнения всех этих небольших домашний заданий и прослушиваний лекций по 2-3 часа, вам нужно за неделю собрать итоговый проект, пояснения к большому блоку из которого вам дадут просто в письменном виде. Очень удобно и приятно, после сдачи проекта вам дадут обратную связь, где окажется, что вы все сделали неправильно, выставляя критерии, о которых ни слова не говорилось до этого. Помимо всего, будет мало действительно полезной информации, вас будут заливать потоком второстепенной ерунды, которая тоже будет занимать ваше время. Также ваши знания с одних курсов могут быть опровергнуты преподавателем с другого курса. В конечном итоге, если бы я знала, сколько сил, времени и денег у меня уйдет на эту чушь, я бы в жизни это не купила. При том, что я действительно выполняю все задания, слушаю лекции, работаю по схожей специальности, реальные знания с этого курса я почти не использую. Также у них тупая система с обратной связью с преподавателем и продлению дз. Если вы хоть что-то разместили в окне для вашей домашней работы, учитывая, что у вас еще есть время для ее сдачи, преподаватель может проверить это и выставить финальную оценку, хотя работа находится еще в процессе и дедлайн не закончен. Эту форму вы можете редактировать, но нельзя выставлять что-то незаконченное для своего удобства или спросить что-то на промежуточном этапе у преподавателя. Это очень тупо и неудобно. Также единственная ваша связь с поддержкой происходит по почте, что долго. Когда я взяла перерыв в учебе, для возвращения к ней мне потребовалось несколько месяцев, чтобы поддержка добавила меня в группу. Далее они планируют запускать этот курс в двух годовом формате. Как по мне, это будет просто невыносимо сложно и скучно, не советую вообще. Также они постоянно пытаются взять с вас абсолютно бесполезную обратную связь, которая не влияет ни на что, и заманить вас на то, чтобы вы делились их великолепным сервисом) Сервис у них полный отстой, не идите! Если бы я знала то, что знаю сейчас, то пошла бы в Яндекс практикум или другую компанию, но точно не к ним.	0	https://irecommend.ru/content/godovoi-kurs-po-dizainu-interfeisov
Вперед, к поставленной цели ! С GeekBrains у вас всё получится !	Прогрес не избежен ! И уже даже пенсионеры научились пользоватсья приложениями смартфонов и другими IT продуктами, чтоб общаться со своим банком, государством, или любыми другими сервисами. А уж дети с цифровыми технологиями разбираются даже раньше чем начинают говорить (есть конкретные примеры в личном окружении). И если вы задумались о смене профессии, а об этом думать никому не рано и никогда не поздно, то безусловно, самое востребованное направление это IT. Но как быть если вы не школьник, необремененный практически ничем ? А вы взрослый человек, скажем вам за 40 лет. У вас работа, домашние заботы, одним словом много якорей. Скорее всего вы не сможете вырваться из своего бельичего колеса, на год-полтора, а может нескольно лет чтоб освоить новую профессию в режиме стационарного обучения в аудитории с преподавателями. Вот так и я, уже и не мечтал о профессий разработчика. Хотя и увлекался программированием с подросткового возраста. И даже в возрасте за 20, я твердо решил изучить Андроид разработку самостоятельно, бесплатно. Есть же очень много информации в свободном доступе в интернете. Так все думают? И я так думал! Какой дурак будет платить деньги за то, что можно скачать из сети бесплатно? Интернет большой! Там всё есть! Но вот всё, да не всё... Новая профессия - это не прочитать статью за 15 минут. Попробуйте хотя бы научиться варить кофе, Эспрессо. (Я тут недавно себе кофеварку купил... В общем вторая неделя, десятки видеороликов, километры статей и только сейчас кофе действительно начал получаться) Как оказалось там столько нюансов... и зерна и помол и темперовка, температура воды, масса сухого кофе, масса готового напитка, время экстракции очень важно...) Даже не пытайтесь самостоятельно получить новую, сложную профессию. Пожалейте себя, не совершайте таких бессмысленных поступков. (Ну только если вы не чертов гений. Или у вас есть волшебная таблетка. Тогда ладно). В моем случае вариантов не было вообще никаких, кроме онлайн обучения ! И я решился ! Тем более что GeekBrains предоставили огромную скидку - 40%. Занятия онлайн, дома, после работы. Два урока в неделю. Но главное ! Главное - это люди ! Конечно важны и учебные программы. И методические пособия. И сам учебный портал. Но тем не менее, главное приемущество GB на мой взгляд - это команда ! Это то что вы не скачаете в интернете. И никто вам бесплатно не предоставит. А в GeekBrains преподаватели это реально работающие профессионалы. То есть, не тот дедушка профессор, который сам никогда не работал разработчиком ПО. Но 20 лет преподает в институте технологии, которые 20 лет назад уже были устаревшими. Преподаватель GB еще три часа назад писал код для банковского приложения, или работал для какой-нибудь автомобильной компании из Детройта. А сейчас он обучает вас самым современным технологиям. И вы с ним можете общаться, задавать вопросы, просить совет. Он будет проверять ваши домашние задания и давать фидбэк. Кроме этого есть наставники и служба поддержки. Вот все эти люди и делают GeekBrains, раельно работающим, обучающим порталом ! Да, обучение не будет легкой прогулкой. Этого никто и не обещает. И у меня тоже не всё прошло гладко. Были моменты когда я не успевал. Были моменты когда не всё получалось. И даже на момент окончания учебы, оставались не выполнеными 6 домашних работ. Сложных работ. Мне понадобилось много времени чтоб наверстать. Но я это сделал ! Я обратился к преподавателю. Попросил принять мои запоздалые работы. Он согласился, принял и проверил. Скоро я получу итоговый диплом ! И уже начал рассылать резюме ! Всё получилось ! Я получил новую профессию !	1	https://irecommend.ru/content/vpered-k-postavlennoi-tseli-s-geekbrains-u-vas-vse-poluchitsya
Осторожно!!! Мошенники!	Пишу повторный негативный отзыв так как никакие договорённости со стороны этой компанией так и не выполнены! 13 марта 2023 года я оплатил полную сумму 118000рублей за курс пакет Digital-master. Получил доступ к личному кабинету и начал ждать начала обучения. 20 марта я передумал ждать обучения и вообще передумал учиться. 20 марта 2023года я отправил заявление на возврат денег на почту в тех поддержку. (т.е. прошло всего 10 дней с момента оплаты и учёба ещё даже не начиналась.) Позвонив в тех поддержку приятны голос мне ответил, что согласно договора со мной свяжутся в течении 10 дней. По истечении 10 дней мне позвонила девушка и сообщила, что мне вернут всего ВНИМАНИЕ)) 18000рублей и 118000!!! На что я конечно же не мог согласиться. Я начал писать гневные отзывы и в конечном итоге девушка позвонила и предложила мне вариант оплаты 101524рублей из 118000рублей мной оплаченных. Объясняя, что мол они же потратили на меня время. Я принял их предложение и отправил 06 апреля 2023года новое заявление со всеми требуемыми документами на почту в тех поддержку указав оговоренную сумму 101524рубля. Тех поддержна подтвердила принятие моего заявления и сообщила, что передадут в казначейство на оплату. Сегодня уже 10 мая 2023 года и никаких денег я так и не получил. На все мои запросы в тех поддержку никаких внятных ответов я так и не получил.Только то что стою в очереди на возврат!!! Так эти обманьщики не оставили мне никакой возможности, как только обратиться в правоохранительные органы со всеми вытекающими последствиями.	0	https://irecommend.ru/content/ostorozhno-moshenniki-134
Geekbrains - возьмут деньги за 1 клик, а вернут через суд	"Вообщем читаю я здесь отзывы, и понимаю что нас таких обманутых пруд пруди. Оплатила курсы в начале июля по программе Python-разработчик, сделала я это без звонков менеджера, самостоятельно оформила рассрочку(на самом деле кредит) на обучение на их сайте. И только после оплаты в мою головушку пришла светлая мысль - почему бы не проверить отзывы на данную контору? И тут сами понимаете, я была в шоке. Буквально через 4 часа после оформления кредита заявление о возврате средств уже было отправлено им на почту. ""Вам перезвонят в течение 10 дней"" - ответили они. И были таковы. После длительного ожидания я решила не спускать им это с рук, заключила договор с юридической фирмой, которые уже не раз судились с этой замечательной конторой. Итог : досудебная претензия отправлена им на почту. И о чудо чудесное - мне перезвонил менеджер! Меня обрабатывали 40 минут, предлагая перейти в Скиллбокс или оформить скидку на обучение. Я им сказала - ""да да, конечно"", но на почту сразу отправила письмо, что претензия все равно в силе и я жду свои кровные обратно. Мне присылают форму для возврата средств. Я все заполняю и отсылаю им на почту - к слову это было 9 августа. Правда увидели это письмо они не сразу, и отправили только 14 августа. ""Направили в казначейство, ждите чека!"" - написали они. А вот сроков возврата сообщить не удосужились. Как мне сообщил мой юрист - срок возврата средств от 5 до 30 рабочих дней со дня подачи заявления. Но как показывает мой опыт - для сотрудников Geekbrains не существует законов, а совести и подавно. Итог этой истории на сегодняшний день: готовим исковое заявление в суд. Имею полное право на возмещение все своих расходов и нервных клеток. Кто попал в такую же ситуацию и уже нажал злосчастную кнопку ""Оплатить"" на их сайте - сразу же обращайтесь к юристам. Деньги они вам так просто не вернут."	0	https://irecommend.ru/content/geekbrains-vozmut-dengi-za-1-klik-vernut-cherez-sud
Тысячу раз подумайте, прежде чем связаться с beekBrains	"Тысячу раз подумайте прежде идти в GeekBrains К большому сожалению приобрел обучение в компании geekbrains. iOS разработчик за год по версии этой платформы, язык не поворачивается назвать ее образовательной, это 9 месяцев чего угодно, кроме профильного направления и 3 месяца бегло по профилю. Перед покупкой и оплатой курса нужно выбрать время обучения. Я выбрал утро в будние дни. Если читаете это, то запомните - это важно. Обучение разделено на блоки. Между блоками делают каникулы, меняют группу, и как оказалось расписание занятий. После первого блока мне вообще не назначили продолжение обучения. Когда написал в поддержку, прозвучало что-то вроде ""ой, а нас закончилось место в группах, подождите месяц, мы вас запишем в ближайшую группу будни ВЕЧЕР"". Мне такое расписание не подходит, поэтому записали в ближайшую на будни утро. При этом попросим напомнить им через полмесяца) прикольно, но ладно, напомнил и продолжил обучение. После следующего блока наступила техническая специализация, я выбрал iOS разработку. И тут началось самое интересное. Вдруг в личном кабинете студента появились занятия в группе, которая стартовала больше недели назад. Прошло уже 3 лекционных зяняия и 3 семинара (самое полезное из всего). Написал в поддержку, потому что это совсем не смешно. Предложили подождать месяц-два, НАПОМНИВ о себе через месяц, чтобы меня записали в группу) и самое важное: занятия проходят вечером в будние дни, что меня в корне не устраивает, я покупал курс на условиях занятия в будние дни утром! На это мне ответили, у нас таких нет в технической специализации. Советую всем тысячу раз подумать, прежде чем обращаться к платформе geekBrains"	0	https://irecommend.ru/content/tysyachu-raz-podumaite-prezhde-chem-svyazatsya-s-beekbrains
Если бы мой отзыв ограничивался одной фразой, я бы сказал: сделайте свой первый шаг в IT вместе с GeekBrains.	Сегодня реальный мир и виртуальный тесно сплелись. Уже невозможно представить себе жизни без последнего. Сотни различных гаджетов и миллионы приложений сделали наш быт комфортным и интересным. Но чтобы поддерживать их работу, нужны соответствующие специалисты. На мой взгляд, образовательная платформа GeekBrains обладает всеми инструментами, чтобы вырастить такого специалиста. Причем с нуля! Здесь можно выбрать курс на любой вкус: от разработчика до тестировщика,от аналитика до специалиста по машинному обучению и не только. Спектор выбора профессии очень большой, поэтому каждый сможет нати то, что ему по душе. Кроме того, GeekBrains очень гибкая платформа. Она позволяет выбрать для вас удобный формат обучения - онлайн или в записи. Так же стоит отметить огромную команду преподавателей и кураторов, которые всегда помогут и ответят на любой вопрос. Продолжать говорить о GeekBrains можно долго, но если бы мой отзыв ограничивался одной фразой, я бы сказал - сделайте свой первый шаг в IT вместе с GeekBrains!	1	https://irecommend.ru/content/esli-moi-otzyv-ogranichivalsya-odnoi-frazoi-ya-skazal-sdelaite-svoi-pervyi-shag-v-it-vmeste
изучите все	Добрый день, обучаюсь уже третий месяц на специальность дизайнера, конкретно на графического. Что могу сказать, преподаватели прекрасные, все четко и понятно объясняют ,помогают чем могут, к учебной программе вопросов нет вообще, все нравится. Единственный минус это тех поддержка,очень долго отвечает ,иногда вообще не отвечает. Была такая ситуация с проблемой установки про, они 2,5 недели не могли мне скинуть ссылки откуда можно установить, а занятие уже начались, очень нервничала что не успею сдать все во время уже последние дни сдачи заканчивались, поддержка так и не ответила, помогли однокурсники с этого потока, только им спасибо, а так я бы прогорела. Так что это единственный минус обучения из-за которого мотивация просто падает	0	https://irecommend.ru/content/izuchite-vse
нет плохого учителя/плохого ученика - есть плохой ученик/плохой учитель	"Начал обучение на Geekbrains c 01/08/2023. За два с половиной месяца процесс обучения накопил множество как положительных так и не очень моментов. Начнем с Плюсов - большая команда, и без комментариев - много курсов, преподавательский состав, службы поддержки, те же наставники и одногруппники - достаточно гибкая система учебы, возможность выбрать интенсивность и режим учебы - при наличии времени, возможность посещать вебинары по интересующей тематики - примерно раз в две недели, появляются интересные практикумы - даже подготовительные курсы заставляют мозг откиснуть и начать работать - позитив как минимум обеспечен - ""живые"" (которые ведут семинары) преподаватели поддерживают общение и отвечают на вопросы обучающихся, в том числе в чатах группы Теперь НеПлюсы - большая не значит ""мощная"" - вроде работа кипит, но создается впечатление что модерации платформы тестят сами обучающиеся - о чем и пишут потом в службу поддержки - некоторые спикеры отвлекаются от хода занятия и весьма неуверенно преподают, загружаемые записи семинаров перемешаны между группами - база видеоуроков двухлетней давности - при текущих темпах развития информация устаревает уже на момент ее выхода - много видеоуроков это запись вебинаров и не ориентированы под вид занятия - обучающиеся отвечают на вопросы и задания урока в комментариях, которые никто кроме других студентов не читает - база знаний по материалу, в основном, вся в открытых источниках - разработанных своих справочников и методичек пока не увидел - ""полезные ссылки"" по материалу зачастую ведут на платные издания - прохожу первый буткемп - противоречивые чувства и ""каша"" в голове, совмещая с основным обучением за месяц из ~150 уроков прошел только 16 Под Итог Если новая информация вызывает интерес, есть стремление к учебе и познанию, проверке своих сил и возможности, то все ""НеПлюсы"" можно преодолеть. Всем Удачи!"	1	https://irecommend.ru/content/net-plokhogo-uchitelyaplokhogo-uchenika-est-plokhoi-uchenikplokhoi-uchitel
Это одна из лучших школ в IT	Учусь в GeekBrains больше года. Обучение построено блоками - дисциплинами (как в Университете). В каждом блоке есть контрольные задания, которые необходимо выполнить для дальнейшего обучения. Сказать что обучение легкое? - нет, но при определенном количестве выделенного времени и усилий - учиться можно. Есть возможность взять паузу, что для меня было очень актуально, т.к. совмещаю с учебой работу и дом. Есть возможность общаться с преподавателями и кураторами. Есть дополнительные индивидуальные занятия по теме, платно конечно же, но при необходимости - вполне приемлемо по цене. Я рекомендую GeekBrains своим друзьям и знакомым, т.к. это отличная возможность получить образование и заняться чем-то новым.	1	https://irecommend.ru/content/eto-odna-iz-luchshikh-shkol-v-it
Супер	Обучение построено на различных типах взаимодействия с учебной платформой. Формат: онлайн лекции, после каждой лекции онлайн семинар с практическими примерами и разбором задач, решение домашних заданий и их поверка. Лекторы больше дают теорию, а преподаватели на семинарах, имеющие практические навыки соответственно практику. Обучение от простого к сложному, от теории к практике. Что позволяет новичку погрузиться в выбранную тему IT. Дополнительные учебные материалы давят возможность расширить обьем получаемых знаний. Все материалы сохраняются для повторного просмотра и скачивания электронных печатных вариантов, что полезно для повторения и при необходимости в любой момент найти интересующий модуль. Обучением очень доволен, узнал много нового и практически применимого в решении своих текущих задач. Благодаря полученным навыкам через пол года освоено два языка, телеграмм боты, базы данных, сервисов и приложений и т.п, всестороннее рассмотрение вопросов программирования, что позволило принять участие в реализации нового IT проекта.	1	https://irecommend.ru/content/super-6989
Ужасное отношение к клиентам	Приобретали курс по маркетингу у компании Geek Brains. Оплатили курс, нас оповестили, что оплата прошла успешно и назначили куратора, который подключает к платформе обучения. В назначенное время куратор не связался, оказывается, он не дозвонился. Перенесли звонок на другой день, ситуация повторилась. Далее оказалось, что у них проблемы с подключением к платформе. Якобы на нашу почту не доходят письма, хотя с техподдержкой переписывались исключительно по почте. Кроме техподдержки никто не выходил на связь!!! По контактному номеру консультанты не могут дать никакую информацию! В течении 5 дней вопрос не был решен, с нами никто не связывался. На наши письма/звонки не давали конкретный ответ. Запросили возврат средств. Крайне не рекомендуем пользоваться услугами Geek Brains.	0	https://irecommend.ru/content/uzhasnoe-otnoshenie-k-klientam-160
Достойно	"Курс - Fullstack Python. Из плюсов: Интересная программа, понятные методички, грамотные преподаватели. Большинство возникающих вопросов по изучаемым темам решалось во время занятия/лекции. Часто преподаватели лично консультировали вне уроков в ""телеге"". Да, периодически приходилось гуглить самостоятельно, но кто ж вам будет помогать 24/7 на работе? Из минусов: Работа техподдержки оставляет желать лучшего. Некоторые вопросы так и остались без ответа с их стороны, но многое есть в базе данных самой платформы. При желании все находится за 10-15 минут максимум. По итогу: С проблемами финансового плана (не оплачивался курс/не вернули деньги и т.п.) не сталкивался, ничего сказать не могу. Непосредственно от процесса обучения и взаимодействия с преподавателями/менторами только положительнуе эмоции, от взаимодействия с ""администрацией"" - так себе. В процессе обучения были изменения в объеме материала, что тоже насторожило. Про помощь в трудоустройстве - это сокрее бонус, нежели цель обучения. Если вы идете учиться чтобы кто-то за вас все сделал, то лучше сидитете дальше без дела, только расстроитесь. По итогу, как по мне, твердая 4."	1	https://irecommend.ru/content/dostoino-413
Прохожу обучение в ГБ год	Прохожу обучение в ГБ год, нравятся темы, то как преподаватели все рассказывают и объясняют, при всем этом они очень тщательно проверяют итоговые работы и дают развернутую рецензию. Специальность диджитал - маркетолог, интернет - маркетолог, сейчас прохожу учебу на специальность Таргетолог. Если и в дальнейшем буду проходить какие-либо обучения, то выберу ГБ)	1	https://irecommend.ru/content/prokhozhu-obuchenie-v-gb-god
