header	text	verdict	link
Полезно для тех, кто умеет и хочет учиться	Приобрел у Нетологии курс для копирайтеров и коммерческих писателей — и не пожалел. Я когда-то заканчивал филфак и довольно хорошо представляю себе, как создавать тексты. Но нам, студентам, никогда не рассказывали про то, как писать тексты именно продающие, а не просто грамотные и красивые, и за это спасибо Нетологии. Конечно, не стоит думать, что такой курс мгновенно сделает из вас крутого копирайтера, если вы совсем новичок. Однако это будет прекрасным дополнением к профильному образованию, а также если вы действительно неплохо пишете. Там расскажут, как устроены соцсети и маркетплейсы, как писать коммерческие предложения, создавать визуальный контент (Figma теперь моё хобби!) и даже помогут сделать портфолио в Tilda.	1	https://irecommend.ru/content/polezno-dlya-tekh-kto-umeet-i-khochet-uchitsya
диGEEKBRAINSзайнер (ЧУДА не будет)	"Долго собиралась опубликовать данный отзыв и уже, наверное, тематика не так актуальна, ведь послековидный спрос на онлайн курсы для дизайнеров у многих поутих, но все же, посмотрев статистику отзывов, решила, что опубликую, вдруг еще кто-то сомневается. Я решила пройти онлайн курс по графическому дизайну в сейчас уже далеком 2020 году (до пандемии), когда они были еще не так популярны. Тогда я пыталась найти хоть какие-то отзывы о или , но толкового ничего не было, только хваленые дифирамбы или размытые подводные камни, которые сразу не выделишь для себя. Поэтому полистав страницы в интернете, я решила все-таки попробовать. Я полностью прошла курс от Geekbrains ""Графический дизайнер"" с 0 до самого конца, защитила дипломный проект и получила сертификат. Стоил курс в 2020 году 100 тыс рублей. Я заработала эти деньги сама, поэтому без зазрения совести пустила их на свое развитие. Были преподаватели, которые с трепетом относились к каждому занятию, доносили много нужной информации, была видна их подготовка и опыт в своей области. Но бывали (не без этого) и такие, кто включался для галочки и большую часть занятия делился смешнульками из личного опыта, забывая, что у нас все-таки урок. Сама платформа мне казалась простой в использовании, интуитивно понятной (сейчас, конечно, она претерпела множество изменений, ведь и бюджеты увеличились). Лично у меня не бывало каких-либо програмных сбоев или багов, все можно было посмотреть в записи, полистать чат и задать вопрос преподавателю на почту (мне обычно отвечали). Сейчас я пишу этот отзыв из 2023 г. и могу сказать, что возникни у меня сегодня дилемма: ""Покупать или не покупать онлайн курс для дизайнеров"", то я бы не выбирала данную или какую-либо другую онлайн платформу. Я бы училась самостоятельно по роликам, тем более их сейчас великое множество в интернете. Почему не купила бы курсы: Подводя вышесказанному, хочу от всей души Geekbrains в качестве источника знаний , будь то графический, промышленный или дизайн интерьеров. Не могу говорить так о курсах программирования или каких-либо новых специальностях, по которым нет структурированной базовой теории, потому что возможно для старта кому-то такие курсы и подойдут. При этом нужно всегда смотреть в свой карман и учитывать то, как вы будете монетизировать полученные знания. На сегодняшний день я подрабатываю дизайнером, но это не основной источник заработка. При этом я приняла участие в крупном проекте по отрисовке сложного, многостраничного сайта о недвижимости и хочу сказать, что в дизайне (как и в любой другой области) важна практика и постоянная тренировка насмотренности. Приятным бонусом было то, что удалось получить возврат в рамках социального вычета на обучение. Пришлось помучиться с документами, но когда 14000 упали на карту, было приятно. Для вычета потребовалось собрать пакет документов: Ожидать пришлось более 4-х месяцев, т.к. лично у меня требовалась повторная подача декларации (в целом процесс камеральной проверки занимает не более 90 дней), я уже и забыла о деньгах, а когда получила неизвестный платеж на карту, пришлось сопоставить факты и приятно удивиться. Вот такая моя история взаимоотношений с GEEKBRAINS."	0	https://irecommend.ru/content/digeekbrainszainer-chuda-ne-budet
Отучилась и не жалею. Спасибо государству!	Здравствуйте! В октябре прошлого года я уволилась со своей ненавистной работы и с чистым сердцем стала учёт в наш центр занятости в качестве безработного. Там же, я узнала, что оказывается сейчас реализуется программа бесплатного образования от государства и что называется не как обычно: продавцы да повара, а есть возможность обучения других профессий, правда дистанционно. Мне объяснили, что весь список я могу посмотреть на портале Работа в России, в разделе обучения. Там же из всего перечня я выбрала то, что мне было более близко и на что я сама хотела давно обучиться, а именно профессия психолог- консультант. Но увы и ах, так как уже был октябрь, поступить на обучение было нельзя. В цзн мне сказали, что смотрите, с нового года будут заявки от учебных заведений, а их надо сказать всего 3, которые участвуют в этом проекте. Весь январь и февраль я пытала специалистов, когда же будет заявка от университета, который реализует обучение на психолог-консультанта. Они пожимали плечами и говорили- смотрите. А смотреть чаще всего было проблематично, потому что этот портал чаще всего вис. О том, что можно записываться на обучение по моей выбранной профессии, я узнала в середине марта. Причём опять же, в цзн это никого не волнует, они не звонят, не предупреждают и не говорят. Если бы не увидела, то просто пропустила бы. В цзн у нас бардак. Сначало говорили сами никуда не нажимайте, потом по телефону сказали отправляйте им заявку сами, сами загружайте документы. Окей. После этого через портал Flow на почту начинают приходить письма от университета, касаемо обучения. И то, я прождала почти 10 дней, чтобы мою заявку в университете рассмотрели. Есть кнопка обратная связь, куда можно написать смс. Телефонов нет, надо будет срочно связаться, просто не свяжешься, вопросы не задашь.  На мою заявку отреагировали примерно спустя 10 дней и то ,когда я уже начала постоянно писать в службу поддержки, время ведь шло! Обучение должно начаться через 2 недели. Далее как я уже сказала ,на почту приходили письма типа: загрузите сканы, распечатайте, подпишите и отправьте сканы, заполните согласие на обработку данных.  Каждое действие проверялось и то не быстро. А я с почты не вылазила, боялась, что письмо пропущу. После отправки всех документов электронно, был выслан трехсторонний договор, который должна была подписать я, мой цзн и потом университет. Оригиналы отправлять нужно почтой. В цзн я поинтересовалась,как это сделать, заказным письмом, ускоренным, а какой именно адрес. От меня отмахнулись и сказали, что не в курсе но мол это надо делать срочно. В итоге я пальцем в небо можно сказать и почитав как люди отправляют, отправила на адрес университета, срочным, заказным письмом. Ему присвоили трек-номер. Этот трек номер тоже надо будет указать на этом портале Flow. Томск от нашего города далеко и само письмо шло почти 2 недели. Благо доступа на платформу обучения Один, открыли за день до обучения.	1	https://irecommend.ru/content/otuchilas-i-ne-zhaleyu-spasibo-gosudarstvu
Очень удобная платформа	"Купила на Нетологии курс ""Комьюнити-менеджмент"". Мне очень понравилась структура и то, как все устроено на платформе - короткие лекции, которые удобно смотреть, особенно когда свободного времени немного, можно посмотреть одну часть, потом следующую, не прерывая видео. Меня очень мотивирует, когда можно видеть собственный прогресс - выполненные задания отмечаются галочками) Это мой первый курс по комьюнити-менеджменту и он полностью оправдал мои ожидания в плане полученной информации. Курс идеален для тех, кто только вникает в профессию. Порадовали дополнительные материалы и таблички, которые потом можно использовать в своей работе. Время, выделенное на ДЗ и просмотр лекций очень комфортное (учитывая, что я в декрете с двумя детьми, я все успевала вовремя). Очень много практики - это большой плюс, домашки делать было интересно. Могу сказать, что я утвердилась в своем желании идти дальше по пути комьюнити менеджера и теперь хочу более углубленный курс! ) Единственное - мне не хватило обратной связи от преподавателей при проверке домашней работы. Вопросов было много и хотелось больше примеров. Но это прям мааааааленький такой минус. Всем остальным я очень довольна!"	1	https://irecommend.ru/content/ochen-udobnaya-platforma
Отвратительно	Месяц назад приобрела курс продакт менеджер на 9 месяцев за 145 000 руб. в рассрочку. Когда поняла, что занятия безумного скучные, одна вода решила отказаться от обучения - на что мне насчитали сумму в 3 раза меньше, чем было заплачено. Впереди претензионная работа и суд. Никогда никому не порекомендую эту школу. Есть более качественное за более низкую стоимость и сроки обучения без лишней воды у других школ. Жаль поздно это поняла.	0	https://irecommend.ru/content/otvratitelno-5408
Разочаровали	Поступил на курс по системной аналитике в конце июля, в начале сентября понял, что формат обучения мне совершенно не подходит. Но оценка снижена не за это ( про формат - это уже кому, что удобней). С учётом описанного решил вернуть часть средств и завершить учёбу. До старта обучения обсуждал с сотрудниками платформы такую возможность. Было озвучено, что возврат производится за не пройденную группой часть учёбы. Группа прошла около 10 % курса, но возвращают 14 000 из 80 000. С учётом такого подхода платформы и наличия не плохих конкурентов вряд-ли возьму следующий курс у них или порекомендую друзьям, ведь при смене рода деятельности сложнее чем кажется сразу выбрать то , что подойдёт, а потеря средств при выходе из учёбы тут через чур большая.	0	https://irecommend.ru/content/razocharovali-150
не рекомендую!	Всем добрый день, училась на курсе иллюстрация и рисование с нуля. Мне откровенно не понравилось. Я прошла первый блок и ощущение, что все лекции были сделаны на коленке и побыстрее, на каждую тему выделяется около часа или двух лекций, хотя в худ школах на них уходит около полугода или года практики. Такое ощущение, что хотели поместить все и сразу, но получилось не очень, мягко говоря. Долго после лекций приходилось искать в поисковиках дополнительную информацию ( бесплатную), где объясняли намного лучше, чем в их лекциях. Звук и качество картинки страдали, в наушниках было еле слышно лектора. После завершения блока требовалось сделать задание с проверкой эксперта. Откровенно говоря, сложилось впечатление, что эксперты эти просто хвалят работы, не давая никакую конструктивную критику. Идем дальше, мы всей группой начали протестовать, что качество лекций ужасное, смотреть невозможно, нас в потоке 30 человек и половину точно не устраивало качество образования. Нам подключили какие-то дополнительные лекции, которые они переснимали в студии с хорошим звуком, но отказывались до последнего сдвигать даты начала второго блока. Их не волновало, что мы просто не успеем и старые лекции завершить и новые посмотреть, которые они сняли. Я и еще несколько человек приняли решение уйти с курса, потому что нас не устраивало такое наплевательское отношение со стороны кураторов и разработчиков курса. На сайте заявлено, что они вернут вам деньги, и тут начинается самое интересное. За два месяца из девяти мне пришлось отдать половину стоимости обучения, потому что они берут 30 процентов издержки за использование их платформы, работу ( не работу) куратора и так далее, на сайте об этом нет ни слова и не было при разговоре с менеджером при зачислении на курс. Договор, кстати, никто не подписывает. Все это идет в устной форме. Я честно скажу, не потому что я обижена или мне не вернули те деньги, которые я требовала, а просто объективно- Вас не научат тут рисовать. Вебинары с экспертами, которые хоть как-то умели объяснять проводились раз в 1.5 месяца. Курс этот и данную платформу не рекомендую.	0	https://irecommend.ru/content/ne-rekomenduyu-2964
Совершенно непригодная контора	"Оплатил обучение на курсе ""1C-программист: с нуля до middle"" - 108 000 рублей, купился на хорошие отзывы от блогеров и их подписчиков. Уже на старте обучения (а именно вводные лекции по организации) стали закрадываться сомнения в компетентности лектора. Путалась в терминах, несла в массы откровенно антинаучную информацию (судя по ее словам, например, рептильный мозг и лимбическая система это одно и то же) и вообще делала все, чтобы студент стал искать способ возврата средств. Оказалось, что и здесь не все чисто - условия возврата установлены не опираясь на законодательство РФ, а исключительно руководствуясь хотелками владельцев этой фирмы, которые пытаются доказать, что их расходы на содержание методистов, экспертов, координаторов, технической поддержки; обеспечение функционирование онлайн-платформы - все эти расходы обучающийся обязан возместить Нетологии в силу ст. 782 ГК РФ и ст. 32 Закона о защите прав потребителей. Это со слов консультанта из чата поддержки. Дальше - больше, ответа на мой вопрос по форме возврата вот уже несколько часов, при том, что дозвониться на линию поддержки попросту не могу уже второй день (чудесным образом все линии заняты). Итог - если думаете о том, чтобы занести деньги этим чудесным людям, то... идите и подумайте еще раз."	0	https://irecommend.ru/content/sovershenno-neprigodnaya-kontora
При возврате средств всеми силами пытаются заскамить, как можно больше	"Взял в ноябре 2022 года курс 3D-моделирование и анимация, в декабре приступили к обучению, на каком то этапе понял, шо ничего нового я там не узнаю, уроки очень поверхностные и бесплатные курсы по которым я проходил обучение в разы качественнее: шо по материалу, шо по качеству записи, ибо слушать шипящий микрофон преподавателя не очень приятно. Думал я себе, шо сейчас без проблем оформлю себе возврат средств, ибо при оплате я общался с мужчиной, который дословно мне сказал, и я даже уточнил эту инфу, мол, сумму за занятия которые вы не прошли вернут в полном объеме, и я из за этого согласился. Но стоило мне оформить возврат, как тут начинается самое веселое: удосужились мне ответить только спустя неделю, где сказали шо к возврату подлежит 13965 руб., из 66 789.54 р которые банк перечислил нетологии, а у сумма рассрочки у меня 76 тысяч, а считают они возврат средств с мифических 133000 рублей, которые им в жизни никто не платил. Из примерно 54 занятий у меня было пройдено 14, из 6 модулей у меня был закрыт только один (в самом первом модуле есть занятие которое еще не открыто). И если вы думали, шо нетология пытается вас обмануть только суммой возврата, так они намерено и считают ее неправильно, в моем расчете они указали шо модулей на курсе 5, хотя их 6, и шо пройдено полностью у меня 2, хотя в первом модуле одно занятие все еще закрыто. Как они считают стоимость модуля тоже забавно, просто делят сумму которую оплатил на 5 (хотя модулей 6), а то шо в 1 модуле 3 занятия, а в 5 11 занятий разницы видимо нет, за то шо меня научат собирать компьютер, и узнаю про индустрию 3D моделирования, где вам час будут рассказывать про мультики, вы заплатите столько же, как если 10 занятий будете учить анимацию в Cinema 4D. Люди просто не выполняют свое общение, везде пытаются вас обмануть, я не думаю шо у них это ошибка и они не смогли посчитать количество модулей и занятий моих пройденных, они не мне первому оформляют возврат, шоб ошибиться, сделали это намеренно, они выдумали какую то скидку на занятие в 40 процентов, которое обновляется каждый раз, как только закончится и вы не найдете ни одного человека который приобрел курс за полную стоимость 133000, которую они называют, ибо это не настоящая цена. Это просто мошенники и обманщики. Теперь у них новый вид скама, и формулу возврата они изменили с февраля этого года, где вам сразу пишут, шо 30 процентов вы не получите, но тут уже почему то считают с фактической суммы которую вы заплатили, а не мифические эти 133000, за которые никто у них его не брал курс никогда, но шо забавно, в новом формуле возврата они говорят, шо эти 30 процентов идут на ""контент и актуализация его на основе рыночных исследований, дополнительные материалы, сопровождение, поддержка платформы, инфраструктура и сервис, программное обеспечение и средства обеспечения связи, лицензии на программное обеспечение, расходы на привлечение Обучающегося и его консультирование, оформление и наполнение личного кабинета Обучающегося на онлайн-платформе Нетологии;"". И как тут не усмехнуться про актуализацию контента, где вам просто продают запись, которой уже год-два, программное обеспечение, которым они не могут обеспечить и просто скидывают пиратские версии программ. В самом начале курса была история, где в модуле была инструкция по установке актуальной версии программы, по которой потом студенты сделали дз, а им преподаватели говорят, зачем вы сделали в этой версии, мы все пользуемся там какой-то старой версией, надо было уточнить у нас и делать в ней, и кидают торрент файл с ним, у некоторых учеников после этого были трояны и им пришлось переустанавливать винду, вот так они актуализируют программу обучения за эти 30 процентов. Я надеялся на конструктивный диалог в чате поддержки, но уже три часа мне никто не удосужился ответить на мои сообщения. Поэтому оставляю отзывы, надеюсь они помогут нам прийти к пониманию друг друга, а не к воровству денег. P.S. Сделали перерасчет и вернули адекватную сумму."	0	https://irecommend.ru/content/pri-vozvrate-sredstv-vsemi-silami-pytayutsya-zaskamit-kak-mozhno-bolshe
Мошенники	Купился на их предложение помочь в модерации за бесплатное обучение, В итоге: Сказали 2 месяца бесплатно отработать, но и по пришествию 2х месяцев работы, курс так и не дали. Полный разводняк. Пока работал модератором по направлению Маркетолог, слушал вебинары, информация очень поверхностная, добрая часть спикеров просто пиарят себя и свои каналы. Всю информацию что преподают, можно тупо гуглить, ничего нового там не расскажут, так в общих чертах, что для работы вообще не годится. Работаю менеджером МП, хотел прокачать скилы, по факту пустая трата времени, жалко людей, которые ведутся на рекламу и скидки, тратя огромные суммы за их бесполезные курсы.	0	https://irecommend.ru/content/moshenniki-1402
