header	text	verdict	link
Эффективно Современно	Здравствуйте =) занимаюсь в скайэнг уже около месяца, решила написать впечатления Уточню, что это первичный опыт, раньше я не занималась с реметиром иностранных языков в онлайн формате. Может позже приду к другому мнению Итак: У меня небольшой опыт изучения английского языка (в школе был французский, на работе были командировки в франкоязычные страны) Сейчас нахожусь в декрете, озадачилась получением новых скиллов). Долго думала как реализовать изучение языка, т сказать без отрыва от (производства) декрета. Скайенг выбрала по совету и опыту брата, который занимается там год, и учитывая его трех детей, загруз на работе и кучу разного головняка, он успевает заниматься и вобщем доволен. Плюс, ему подарили несколько уроков за мою регистрацию) Пока все нравится Устраивает что можно выбрать любое время дня и ночи для занятий, так же препод идёт на встречу если нужно перенести /сдвинуть урок. Нравится приложение Скайенг, интерактивное, очень удобно. Можно заниматься с телефона, компа, ноутбука, и это очень удобно для мобильных мамочек. Нравится быстрая связь с преподавателем. Нравится возможность писать заметки во время урока. Иногда пропадает синхронизация в приложении между мной и преподом, помогает перезагрузка.	1	https://irecommend.ru/content/effektivno-sovremenno
Искренне рекомендую	Начала заниматься на вашей платформе почти год назад. Но этого занятия английским языком для меня были равны пыткам, но тут было 100 процентное попадание. Девушка, проводится вводные урок показала мне, что занятие может быть весьма интересным и не таким эмоционально напряжённым, как мне казалось. Затем я выбрала себе преподавателя, причём большую роль здесь оказался возможность послушать его речь и произношения. Сейчас прошло 11 месяцев с первого занятия, у меня есть прогресс, я сама его чувствую. Это меня очень радует. Начала потихоньку читать книги, пока только детские. Занисаюсь всего раз в неделю, но слова учу через приложение каждый день. Отдельно стоит отметить приложение, без которого мой прогресс был бы гораздо меньше. Если вы давно хотите начать заниматься английским, но вас перелергивает от ужаса про воспоминания школьных уроков, то skyeng это для вас!	1	https://irecommend.ru/content/iskrenne-rekomenduyu-2
Удобный способ обучения английскому языку	Я пришла в школу изучения английского языка Skyeng после нескольких лет изучения английского в оффлайн-школах. На вводном бесплатном занятии меня протестировали и определили мой уровень знания языка. По моему мнению, определили правильно: intermediate. Но со второго полноценного занятия с преподавателем мы решили, что мне будет интереснее изучать уровень Upper-intermediate, т.к. на первом занятии стало ясно, что изучать программу intermediate мне будет неинтересно, да и толка от этого будет не много, т.к. я уже владею языком на этом уровне, а мне хотелось бы совершенствоваться в его знании и развивать свои навыки дальше. По цене занятия в Skyeng не дешевле, чем обучение в оффлайн-школе (особенно если берешь индивидуальные занятия, как делала я), но если покупать сразу большой пакет занятий, то выгода будет существенная, но и заплатить сразу придется большую сумму. Не каждый это может себе позволить. А вот удобства занятий в Skyeng по сравнению с оффлайн-школой я ощутила сразу. Во-первых, возможность самостоятельного выбора преподавателя под себя, под удобное для тебя время занятий и их частоту. Во-вторых, возможность смены преподавателя без особенного там объяснения причин. В этом случае присылают небольшую анкету, где необходимо отметить наиболее подходящую причину смены преподавателя, а после этого выбрать себе другого. Кстати, я этой возможностью воспользовалась и осталась очень довольна. Занимаясь в оффлайн-школе, мне не нравился мой преподаватель, но сменить его у меня возможности не было, т.к. других свободных преподавателей для моего уровня языка мне в той школе не могли предоставить, а переходить в другую школу мне было неудобно, т.к. добираться до нее добираться пришлось бы дольше. Здесь все эти проблемы решались парой кликов мышью. В-третьих, очень удобное приложение, благодаря которому я могла изучать новые слова и делать домашнее задание по дороге на работу в общественном транспорте и вообще в любом месте, когда выдавались свободные несколько минут. Никаких тетрадок, ручек, учебников и дополнительных трат на их покупку. Все в твоем телефоне. И сами занятия можно проходить с телефона. Но по мне, это не очень удобно. Поэтому я стараюсь заниматься с преподавателем с компьютера. Плюс ко всему этому возможность занятий с носителем языка (правда, это выйдет дороже), разговорные клубы, оценка прогресса обучения, дополнительные упражнения в виде просмотра видео с последующими вопросами по нему, дополнительные упражнения по грамматике, интересный материал уроков на современные темы, который периодически обновляется и т.д. Однозначно, Skyeng - это удобный и результативный способ изучения языка.	1	https://irecommend.ru/content/udobnyi-sposob-obucheniya-angliiskomu-yazyku
Мне повезло с выбором школы	Начал учить Английский в онлайн-школе Skyeng, и мне прежде всего понравилась структура её работы. На первой встрече, проводится беседа с организаторами обучения, определяются цели и подбирается подходящий курс. Далее даётся на выбор несколько преподавателей, с описанием их компетенций, а также аудиофайлом эссе, что даёт возможность услышать голос и произношение Английской речи преподавателя. В процессе выбора, можно определиться с днями и временем занятий. Обучение проходит на платформе Skyeng, которая наполнена достаточно большим количеством учебного функционала. Кроме того, дополнительно проводятся вебинары и марафоны. Для меня обучение проходит достаточно комфортно и продуктивно. Несмотря на первый месяц обучения, я могу отметить значительный прогресс освоения языка.	1	https://irecommend.ru/content/mne-povezlo-s-vyborom-shkoly
Крайне неприятная организация, в которой тормозит платформа и пытаются обмануть	Опишу свою ситуацию. Занимался больше полугода. В целом все неплохо. Есть вопросы к преподавателям. Но это мелочь. И только постоянные лаги жутко напрягают. 1. Видео постоянно нужно перезагружать. Жутко зависает, то звук, то видео, то еще что-то. 2. Если в десктоп версии добавил слова в словарь, то в приложении они не добавляются. Совет поддержки - выйдите из приложения и заново зайдите. И так каждый раз! 3. Если делаешь домашку с телефона, то она не сохраняется. Потом то же самое нужно проходить на десктопе. 4. Последние несколько занятий сломалась функция перевода слов и добавления слов в словарь. Вообще слова не добавлялись. Только учитель мог добавить. 5. Когда сделали редизайн, учителя не знали, как давать материал и домашку, потому что ничего было непонятно. В итоге много уроков без домашки. За полгода обучения было 3 преподавателя, все они жаловались на баги платформы и предлагали заниматься без скаенга. Лучше бы так и сделал. В общем, из-за этого всего я устал и запросил возврат. Брал рассрочку на 32 занятия из расчета 890 руб за занятие. Когда запросил возврат, предположил, что компания ушлая, поэтому спросил какая сумма будет возвращена. Думал, что если сильно дешевле оценят, то дозанимаюсь оставшиеся 16. Как-нибудь перетерплю. Во время диалога с поддержкой они мне кучу других продуктов предлагали, вместе возврата. Все равно просил возврат. При этом ждал сумму возврата. Т.к. на мой вопрос они не ответили. В итоге просто сделали возврат 16 уроков из расчета 590 рублей за урок. Мотивируя это тем, что была рассрочка, мы посчитали исходя из последнего платежа. И получается, что 16 первых уроков я оплатил по 1200 за их г* платформу. И это несмотря на то, что на их сайте четко написано, что урок выходит 890 рублей. Как-то так. Деньги небольшие. Обидно, что компания так поступает. Пытаются казаться крутыми, а по факту все как обычно.	0	https://irecommend.ru/content/kraine-nepriyatnaya-organizatsiya-v-kotoroi-tormozit-platforma-i-pytayutsya-obmanut
Не сложилось, нет преподавателей	Записался на пробный урок для ребёнка 7 лет. В итоге сам урок представлял из себя в основном нажатие на картики на платформе. Которое ребёнок может сделать только с помощью родителя. Ближе к концу появляется преподаватель. ( с простенькой камерой из квартиры ) Который посчитал до 10ти с ребёнком, спросил какие цвета он знает и назвал несколько животных. Поговорил с ним наши ожидания. После этого начались продажи. Типа вот подарочки и бонусы - они самые крутые. Детский клуб. Оплатите прямо сейчас, и как можно больше. Будут скидки. И только в таком случае бонусы будут работать. Сказал, что нам надо подумать над рассписанием. Оплатим позже. Пообещали сохранить один бонус. ?) Дальше случилась совсем необычна вещь. Оплатили 16 тыс. за 16 пробных уроков. ТОЛЬКО после этого можно выбирать график. И тут оказалось, что преподавателей просто НЕТ на наше время!!! Т.е. задавая начальный уровень английского для ребёнка 7ми лет, выбирая всю неделю, даже пробовали все дни с 16:00 до 20:00 - никого нет!!! Не говоря уже о необходимом нам графике. Связался с поддержкой. Сказали найдёт преподавателя сами. Прошло два дня. Не НАШЛИ. Списываюсь снова, опять разговоры. Опять найдём. Опять какие пожалания. - Говорю, я же их уже на пробном уроке рассказал. Верните пожалуйста деньги. А потом если найдёте попробуем ещё раз, чтобы сохранить клиента. Так мы не можем )) Либо возврат либо будем искать. Говорю спасибо не надо тогда. Верните поскорее. Ок. попробуем вернуть побыстрее. Но нам надо 24 часа, чтобы начать этот процесс и до 10 дней на возврат. Но постараемся быстрее. Отпишусь по процессу. В общем - не могу рекомендовать. Выпрашивать обратно свои деньги, когда сервис не готов оказывать услугу - неприятно. Да и желания получить меня как клиента проявив гибкость - не увидел.	0	https://irecommend.ru/content/ne-slozhilos-net-prepodavatelei
Качественное обучение за умеренные средства.	Здравствуйте. Хочу рассказать опыт моего обучения в школе skyeng. К выбору школы я подходил ответственно, перелопатил весь интернет, пересмотрел кучу отзывов, в том числе видео отзывы в ютуб. Сошёлся на том что есть несколько школ лидеров, которые предоставляют качественное обучение и skyeng одна из них. Дальше начал разбираться с ценами, и здесь я понял что skyeng предлагает самый лучший прайс на своё обучение, я оплачивал через Тинькофф, мне дали 4 бесплатных урока и сделали ещё кешбек. Вообщем по цене они реально обошли всех конкурентов. Но для меня сыграл ещё один огромный плюс это большой выбор преподавателей. Я сам живу во Владивостоке и у меня огромная разница по времени с Москвой, а мне важно заниматься в определённое время. И я очень благодарен скайенгу, здесь действительно возможно найти преподавателя по душе и в то время и дни которые реально нужны тебе. Ну и последний плюс это платформа. У меня закончились уроки, и я думал позанимаюсь просто с репетиторами 1Х1, но проведя пару занятий с разными репетиторами я понял как мне не хватает платформы скайэнга. Она очень удобная, понятная и дружелюбная. Вообщем я уже со скайэнг почти 2 месяца, и абсолютно доволен обучением. Я совмещаю уроки скайэнг с самостоятельным обучением и вижу что это даёт наилучший результат за очень умеренные деньги. Всем желаю счастья и добра. Учите английский	1	https://irecommend.ru/content/kachestvennoe-obuchenie-za-umerennye-sredstva
Неплохо	Моя цель изучения английского, подготовка к собеседованию у нового работодателя. Я это озвучивал и в чате и преподавателю. Преподаватель сказал, что видит цель моего обучения и мы с ним договорились что через месяц сделаем акцент на подготовку собеседованию. Через месяц я напомнил об этом, получил задание подготовить презентацию о себе. Мы пол урока общались по поводу моей презентации, более я заданий не получал и мы продолжили заниматься по той же программе. Я написал в чат что хочу сменить преподавателя, написал причину. В чате мне ответили, что этот курс выбрали по рекомендации методист который проводил вводный урок. Вводный урок был в 2020. Как можно было принять такое решение мне не понятно. Получается я месяц потратил в пустую, так как повторял основы которые и так знал.	1	https://irecommend.ru/content/neplokho-1783
нормально	изучаю начальный уровень - меня полностью устраивает как проходит обучение. Уделяется внимание как умению говорить, так и писать, как знанию и умению применять граматику, так и словарному запасу. Удобный интерфес и в компьютере и в телефоне. Так что изучать английский можно в любом месте, даже если это индивидуальный урок с преподавателем.	1	https://irecommend.ru/content/normalno-842
Есть недочеты, но в целом хорошо.	Школа Skyeng была выбрана по отзывам моих знакомых, которые здесь занимаются, и на основании этих отзывов было принято решение брать премиум, чтобы все шло гладко. Но вначале мне не совсем повезло, и я в течении месяца ждал, пока подберут преподавателя. Первый подбор состоялся в течении недели, но подобранный преподаватель через неделю отказался, не провидя не одного занятия. Следующий преподаватель не соответствовал моим предпочтениям. Потом просто был перерыв в пару недель. В конце концов был подобран замечательный преподаватель, с которым я продолжаю заниматься. На протяжении подбора со мной общались представители школы в чате на сайте и по телефону. Очень нравится интерактивная платформа, на которой ведутся занятия, все в одном месте, никуда не нужно лазить. В конце занятия преподаватель выдает домашнее задание, которое тоже выполняется на сайте. Также есть словарь, в который можно добавлять слова и затем их учить. В общем, долгое ожидание подбора преподавателя в итоге скрасилось интересными и увлекательными занятиями!	1	https://irecommend.ru/content/est-nedochety-no-v-tselom-khorosho-0
