header	text	verdict	link
Сайт и школа Skillbox	Есть возможность перевыбрать не понравившийся курс. Понравилась персональная работа менеджера в разрешении сложившейся сложной ситуации, когда курс не соответствовал моему уровню, было очень интересно (рекламный иллюстратор), но оказалось, я уже на другой ступени. Хочется надеяться, что замена станет адекватной и удасться изучить новую программу. Также хочу отметить наличие интересных информационных пособий в почтовой рассылке.	1	https://irecommend.ru/content/sait-i-shkola-skillbox
Как я на тестировщика училась! Почему Яндекс? Сложно ли учиться? Что понравилось, а что нет? Удалось ли найти работу? (спойлер, да) upd от 04.2023	"Всем привет! Наверно сразу стоит сказать, что училась я по программе ""Цифровые профессии"". Учеба проходила абсолютно так же как у остальных студентов, за исключением пары нюансов: На этом все. Цифровые профессии в данный момент отменили, но возможно программа возобновится в будущем. Какие там буду условия, я не знаю, поэтому более писать о программе не вижу смысла. ------------------------- Программа ""Инженер по тестированию"" предполагает прохождение пяти спринтов и защиту дипломного проекта. Пройти теорию в тренажёре, периодически выполняя небольшие практические задания, сделать и сдать проект по пройденному материалу. Яндекс советует тратить на теорию одну неделю и две оставшиеся посветить проекту. преподается преимущественно в текстовом виде. Видеоуроки будут, но их очень мало, лишь по нескольким темам будут небольшие видео-вставки. Если вам комфортно смотреть только видео-лекции, курс вам может не понравиться. Теоретические блоки соединены такими вот шуточными диалогами. Их не очень много, и их можно просто пролистать. Также в тренажере вы встретите тесты: И задачи по JavaScript: Можно, большинство так и делали. А у кого-то еще семья и маленькие дети. Я в период учебы не работала (не из-за учебы, просто так сложилось). Конечно, с работой было бы тяжелее, но думаю, что я бы справилась. В крайнем случае использовала бы отсрочки. Я старалась укладываться в график, предложенный яндексом - одну неделю закладывала на теорию и две на проект. Сдавала его обычно за несколько дней до мягкого дедлайна и его как раз успевали проверить до начала следующего спринта. Общаться вы будете в мессенджере Slack (с 1 декабря 2022 года всех перевели в Пачку) - ссылку-приглашение вам пришлют перед началом учебы. Я установила это приложение и на телефон, и на ноут, также есть веб-версия. В общем, не пропадете)) Тут на самом деле все просто, хотя многие путаются первое время. Вам куратор постоянно в общем чате будет напоминать о всех важных датах + вы добавите себе график в Яндекс-календарь, так что тут тоже не бойтесь, что что-нибудь ""проспите"". В каждом спринте проводят по 2-3 вебинара, где подробнее разбирают темы спринта. Можно задавать вопросы, если что-то не понятно и получить ответ здесь и сейчас. Проводят его наставники. Записи вебинаров на следующий день выкладывают, их можно сохранять себе и пересматривать позже при желании. Проекты проверяют ревьюеры. После сдачи вам будет приходить подробная обратная связь с замечаниями, которые надо будет исправить. Последующие доработки будет принимать этот же человек. Но каждый новый проект будет принимать новый ревьюер. Связи с ревьюерами нет никакой, но в файлик с вашей доработкой можно написать свое аргументированное мнение, я на дипломе так делала, когда не была согласна с замечанием. Или можно просить наставника, чтобы он уточнил ваш вопрос у ревьюера. Обратная связь приходит в течение 96 часов после отправки (но диплома это не касается, там 10-12 дней). ------------------------- Фух, про организационные моменты рассказала, дальше будут впечатления по каждому спринту. Старалась вести как дневник) ------------------------- Теория в тренажёре далась мне, что называется, ""лайтово"". Я до начала обучения в Яндексе смотрела кое-какие уроки на Ютубе (если что, могу порекомендовать один канал) почитала знаменитого Савина, поэтому каких-то сложностей не испытала. Проект - у страха глаза велики. Первый же. Не знаешь как к нему подступиться и за что браться. На ревью пришло осознание, что очень многое зависит от проверяющего. То есть, . Для кого-то это жирный минус, кто-то даже просил потом дать какие-нибудь эталоны. Но их нет и не будет. Все как в реальной жизни. Смиритесь) Чтобы сдать проект у меня ушло обе доработки. Тоже теория шла довольно легко, но только потому что я опять же это все смотрела на Ютубе! НО! Надо сказать, что от этого как-то скучно мне не было. Материал подан интересно, и самое главное, без воды. На этом спринте мы познакомились с программой Charles и обзавелись двумя новыми каналами в слаке - Charles и Яндекс Трекер. Почти любой вопрос по этим приложениям можно найти по поиску в этих каналах. Очень маловероятно, что до вас никто не сталкивался с такой же проблемой, как вы. Так что не ленитесь искать)) В проекте завели свои первые баг-репорты. 🤭 Самым сложным в этом проекте было для меня составление чек-листа на вёрстку. И тут опять же у кого-то приняли 60 проверок, у кого-то их переваливало за 200. Но главное найти баги.. Чтобы сдать проект у меня ушла одна доработка ( ). Вот я и дошла до этих страшных трех букв! Опять же, познакомившись вкратце с этой темой на том же Ютубе я подумала: Поэтому со страхом ждала этот спринт. Теория шла тяжелее, чем в прошлые два спринта, времени на усвоение материала уходило значительно больше. Плюс очень много практических заданий было в самом тренажёре. Ах да, и ещё один новый канал в слаке и новая программа для знакомства- Android Studio. Кстати, если ваш компьютер не потянет ее, вам дадут удаленный доступ. Ещё познакомились с программой Postman, но по ней чатика нет ( . В проекте самым сложным для меня был блок по тестированию API. Сверяешься с другими студентами: у кого 30 проверок, у кого 100. Воодушевляет! Тестирование мобилки в этом же проекте показалось чем-то ерундовым на фоне API и не заняло много времени. Сдала с одной доработкой! Но читая общий чат все больше понимала, что у студентов принимают абсолютно разные работы! А ещё очень часто ошибаются. Тебе может прилететь замечание, а ты смотришь в свою работу и понимаешь, что замечание к твоему проекту вообще не применимо. А все потому что ревьюеры копируют их из других работ. Происходит путаница и уходит время на выяснение этого обстоятельства. Вот тут я теорию, что называется, выстрадала. Хоть я и с базами данных кратко и вскользь знакомилась ранее, теория далась сложно. Здесь вы познакомитесь с консолью и запишите первые SQL запросы. По SQL практические задания делаются прямо в тренажёре Яндекса. Если раньше я ""докапывалась"" до сути по своей инициативе, то тут без этого просто никак. Ведь не решишь задачу- тренажёр не пустит дальше. Подсказки в тренажёре не всегда понятные, а ещё сам тренажёр оооочень капризный. Создалось впечатление, что он принимал лишь один верный вариант решения и все тут. Проект делали в консоли Cygwin. К проекту я подошла ну очень азартно и сделала его за пару дней. После капризного тренажёра было приятно осознать, что одну задачу можно решить разными способами. Так что от проекта я прямо кайфанула. Но делала все по своим конспектам и по примерам в тренажёре + без гуглинга не обошлось. Сдала с одной доработкой - в одном из заданий сделала глупую ошибку по своей невнимательности. Но зато по всем остальным задачам ревьюрер дал наводки, как еще их можно решить. Для себя все это проделала) Вот тут я даже всплакнула разок (застопорилась на каком-то задании в самом начале, не поняла, что от меня нужно, и все. Плак-плак.)) Этот спринт длится 2 недели, в нем нет никаких проектов, но есть очень много практических заданий в тренажере. Спринт пройти НАДО, чтобы открылась возможность сдать диплом. (Если чувствуете, что не успеваете, можно просто пролистать тренажер, а решения заданий ""подсмотреть"" у других студентов - в группе с преподавателем обычно есть много наводок по решению. А уже потом, после сдачи диплома, спокойно вернуться к автоматизации, сбросить все решения и пройти еще раз самостоятельно). У меня в общем-то не было никаких долгов по предыдущему спринту, и я решила пройти сначала автоматизацию, а уже потом дипломом заняться. Ушла неделя. Но я прямо долго каждый день сидела. Тяжеловато было. После диплома решила все равно еще разок пройтись. А может и не один разок. У нас на диплом наложились еще такие события как переход в другую баг-трекинговую систему - YouTrack и в другой мессенджер - Пачка. Это заново пришлось в чем-то разбираться, настраивать. Но, в принципе, это не заняло так уж много времени. Опять же, по Ютреку сразу создали чат поддержки, где можно было задать свои вопросы. То есть вас никто не бросает самим разбираться с новыми программами. Ну ладно, теперь про сам диплом: Чтобы сдать его до мягкого дедлайна, у меня оставалось 3 недели после прохождения пятого спринта. И тут я словила самую настоящую прокрастинацию Расслабилась к концу обучения. Читаю вопросы по диплому в чате, понимаю, что надо бы начать, а то там что-то прям страшное. Но заставить себя тяжело. Но ничего, слона надо есть частями. Так говорят? Так я и делала. Маааленькими шажками. Вроде делала каждый день совсем по-немногу и сама не заметила, как проект уже почти готов! Диплом состоит из 4 заданий - по сути все то, что вы уже делали раньше: протестировать веб-приложение, мобилку и апи. Плюс заполнить таблицу с вопросами по теории. Совет: откройте задания, просмотрите, поймите, что вам будет делать проще и делайте это в первую очередь. А там уже все пойдет как по маслу)) Сдав работу за пару дней до мягкого дедлайна, дождалась ревью спустя ~250 часов. Так что наберитесь терпения, отдохните немного. После первой проверки пришла огромная простыня текста с правками. Пугало, что на исправления всего 48 часов (даа, даа, хоть и можно попросить еще немного времени у куратора, еще сутки вроде без проблем дают, но затягивать не хотелось). Правила не все, где-то писала свои пояснения, почему я сделала так, как сделала, ведь у меня была в запасе еще одна правка. Но до нее дело не дошло, проект приняли! ------------------------- На самом деле мне в общем-то все понравилось. Я вообще получила удовольствие от процесса. Бывали какие-то мелкие затыки, типа тренажер ""ломался"" - но обычно за час все исправляли. Поэтому придраться то и не к чему. Ну и напоследок: _________________ Ее предлагают пройти всем студентам, она бесплатная. Ее обычно анонсируют на 3-4 спринте, но нашему потоку ""повезло"" и нам прислали анонс уже перед дипломом (опять же какие-то накладки из-за всяких переездов на другие платформы) Программу можно пройти в течение 6 мес. после окончания обучения. Это отдельный курс, его я прохожу в данный момент. _________________ Надеюсь, отзыв был кому-то полезен! Диплом я еще не получила, работу только-только начинаю искать, с этим сейчас проблемы, но я все равно не жалею потраченного времени и считаю, что это было максимально полезно для меня! Были бы знания, а где их применить, я найду! _________________ Охохох Наконец-то могу рассказать о самом интересном для многих: о поиске работы. Часто в чатиках тестировщиков видела сообщения из разряда "" "" Я решила подойти к поискам избирательно. Откликалась в основном на вакансии своего города, удаленных позиций было всего штуки 3-4. Как-то мне самой больше хотелось набираться опыта очно, присутствуя в офисе. Удаленка прекрасна, но успеется)) Ну а теперь моя статистика. Активно искать работу я начала после новогодних праздников, но отправила один отклик еще в ноябре, пока училась (мне сразу пришел отказ и я решила отложить это дело. Че расстраивать себя раньше времени? Я ведь еще учусь). С середины января по середину марта я отправила ( Из них было 3 тестовых, 1 собеседование и, собственно, один оффер. Остальное или отказы, или молчок. Как-то так. Я не знаю, какую вы выберите стратегию поиска, кто-то предпочитает брать количеством и там действительно может что-то выстрелить. Так даже больше шансов, по идее. И больше тестовых заданий для опыта получить можно (их часто автоматом присылают). Но я сделала, как сделала. Кто ищет, тот найдет. Не слушайте все эти ""после курсов не берут"". Берут. И после курсов. И вообще без них (есть примеры среди знакомых)."	1	https://irecommend.ru/content/kak-ya-na-testirovshchika-uchilas-pochemu-yandeks-slozhno-li-uchitsya-chto-ponravilos-chto-n
Круто	После того как решила на что я бы хотела обучится, выбрала платформу skillbox, выбор пал потому что очень понятная и доступная платформа, небольшая стоимость курса, а самый большой плюс это рассрочка без переплаты, это круто. Занимаюсь уже второй месяц, мне все нравится, я довольна. После прохождения курса уже хочу пойти на следующий, в том же направлении, информацию преподносят доступно и понятно	1	https://irecommend.ru/content/kruto-669
Мягко стелят - жёстко спать	Обратилась в онлайн-школу сама, целенаправленно искала курс методиста обучающих программ. Менеджер по продажам была милой и очень напористой. При объяснении всех моих обстоятельств, что курс мне необходим, но через 1-2 месяца и сейчас я узнаю условия, чтобы запланировать обучение в свой бюджет. К слову, курс был необходим для работы, куда я только-только трудоустроилась и было не понятно, продолжится ли сотрудничество через месяц. И соответственно приобретать курс решила как только удостоверюсь, что в компании я надолго. Вернусь к истории с покупкой обучения: обозначили с менеджером контрольные точки созвона. Созвонились раз, я проговорила обстоятельства, ждём дальше. И в один вечер перед завершением работы звонит менеджер рассказывая о скидке, и о том, что мест осталось немного и надо срочно оформляться. И вот тут признаю - техники продаж работают , особенно, когда ты сам в запаре по работе и не успеваешь переключиться на общение с продажником, и за 5 минут разговора я решила приобрести курс, хотя испытательный месяц на работе должен был завершиться через неделю, понадеявшись, что все ок. По итогам месяца работы приняли обоюдное решение, что я ухожу и вот тут вопрос встал с обучением - оно мне не нужно, тк приобреталось именно для конкретных задач в этой компании. Ну и плюсом я не предполагала наличие дополнительных расходов и обучения просто так. Подумала, что можно же вернуть деньги, учитывая, что курс я не начинала и даже не успела зарегистрироваться в качестве участника и пройти по ссылке. Описала ситуацию, менеджер по возвратам начала уговаривать сохранить обучение, манипулируя тем, что я его купила в состоянии дееспособности. В ответ, что оно мне сейчас не нужно и при необходимости я вернусь и приобрету новый - я получала очередную порцию уговоров и техник продаж. В конце беседы я начала злиться, лояльность моя прекратила существование не только к курсу, но и к самой школе. Попросила узнать , сколько мне нужно будет оплатить за отказ в обучении и повесила трубку. Через пару дней мне перезвонили, быстро проговорили формулу подсчёта возврата денежных средств, из которой выходило, что они очень сильно рискуют, что потратили много времени и ресурсов, чтобы мне продать курс (на минуточку - я к ним обратилась сама и была готова приобрести на 80%, это горячий клиент)... Крч, стоимость моей уплаты составила почти половину стоимости курса. Курс насчитали мне на 34 тр, возврат на 14 тр. Вывод - если не хочешь учиться - оплати половину курса и спи спокойно. Мы точно заработаем, а ты при любом раскладе потеряешь деньги и не факт, что приобретешь знания и навыки. Приняла решение все же обучиться. Тк выгоднее это выгоднее оказалось, чем потеря денег. И сделала для себя несколько выводов: 1. Слушать себя и свою интуицию, разум и логику. 2. Фильтровать слова менеджеров по продажам в процессе общения с ними и обдумывать дальнейшую логику диалога, сопоставляя со своими желаниями и целями. 3. Приобретать обучение по наличии суммы, которую я не пожалею отдать даже при некачественном результате. 4. Писать отзывы, потому как они могут быть полезны другим людям. 5. При возможности искать реального человека, кто обладает необходимыми для меня навыками и учиться индивидуально у него, заплатив ему деньги. Да, не будет сертификата (т.е бумажки), но будут реальные практические навыки без воды. Всем читающим - сорри за большое количество текста с отсутствием картинок))) П.С. - пройду курс, напишу отзыв и про обучение. С учётом, что я буду более внимательно и критично относиться к самому обучающему продукту.	0	https://irecommend.ru/content/myagko-stelyat-zhestko-spat-3
Необычный и качественный подход к обучению английского языка в школе Skillbox	"Я покупала несколько курсов в школе Skillbox: смм-специалист, продвижение на маркетплейсах и изучение иностранных языков. И все очень понравились. Мне есть с чем сравнить. я люблю онлайн образование и постоянно что нибудь изучаю. Очень качественно отснятые материалы, преподаватели реальные люди с хорошей карьерой или люди из бизнеса. Просто раскатывают материал. Хочу сказать про школу английского. я выбирала из трех самых известных онлайн школ. Прошла пробные уроки и поняла что в Skillbox подход мне нравиться больше. я не хотела чтобы это было похоже на занятие в школе ""найдите соответствие"", напишите сочинение. я хотела научиться разговаривать, а теорию я плюс минус помню только от этого никакого толка не было. в Skillbox меня учат разговаривать. Там своя методика изучения. с первого взгляда она немного смешная для взрослых людей, но начинаешь говорить неосознанно с ней. я уже рекомендовала своим друзья эту школу. Так что если вы не хотите писать в тетрадке правила и неправильные глаголы и никогда туда не заглядывать или находить соответствия и писать сочинения и хотите научиться разговаривать не думая как это сказать, то я рекомендую попробовать методику в школе Skillbox"	1	https://irecommend.ru/content/neobychnyi-i-kachestvennyi-podkhod-k-obucheniyu-angliiskogo-yazyka-v-shkole-skillbox
Профессия Графический дизайнер	"Добрый день! Курс очень интересный, объемный, но при этом очень структурированный. Мне, как новичку, удобно сначала изучать сначала редакторские программы и курс это в себя включает. Чтобы успешно проходить курс, требуется сильная самодисциплина. Обратная связь с куратором отличная, дается развернутые комментарии к домашнему заданию, можно по выполнении домашнего задания задать вопросы куратору. Помимо прохождения курса очень люблю читать раздел Медиа ""Дизайн"" на сайте Skillbox. Всегда актуальные и очень интересные, грамотно изложенные статьи! Спасибо, Skillbox, за ваш труд и вклад в развитие!"	1	https://irecommend.ru/content/professiya-graficheskii-dizainer
Реально обучают новой профессии!	В прошлом году решила сменить профессию, подумала, погуглила и решила, что мне подойдет менеджер маркетплейсов. По совету подруги выбрала платформу Skillbox и не пожалела! Подробнейшие видеоуроки, практические задания к каждому уроку, разбор ошибок куратором, тесты, финальные работы, помощь в формировании портфолио, написании резюме и советы по трудоустройству. Масса дополнительной полезной информации. Плюс к основному оплаченному курсу подарили несколько очень полезных курсов (по Exel и Гугл таблицам)! В общем рекомендую эту онлайн школу!	1	https://irecommend.ru/content/realno-obuchayut-novoi-professii
Хочешь перезагрузки в профессии?! Тебе в Skillbox	"Решил сменить сферу деятельности и заняться чем то интересным)) друзья подскажите одну оброзовательную платформу под названием Skillbox, оставил заявку на курс ""Профессия продуктовый аналитик"", позвонил менеджер, все рассказал и я оформил, прислали доступ на платформу и я начал обучение, подаётся все информативно, в случае если что то не понимаешь куратор всегда поможет или ты можешь обратится в телеграмм чат, так же после обучения помогают найти работу, составляют резюме, готовят к собеседование вообщем введут от начала и до принятия тебя в штат, я пока учусь но планирую воспользоваться данной услугой ) По этому если вы решили сменить профессию или повысить свою значимость на нынешней работе то skillbox вам в этом поможет, отмечу что вся информация и материалы свежие а это значит что они обновляют информацию постоянно )) это я считаю огромным плюсом ввиду постоянных изменений в мире )))"	1	https://irecommend.ru/content/khochesh-perezagruzki-v-professii-tebe-v-skillbox
То что надо!	Прошла курс «Сценарное мастерство» безмерно рада и довольна материалом, преподавателями и кураторами. Рекомендую для тех, кто думает о переквалификацировании или дополнительном образовании. Онлайн школа самое удобное, что могли придумать с интернетом. Куратор отвечал всегда во время и давала много действенных советов, не навязчиво помогая выполнять домашние задания. Спасибо за знания!	1	https://irecommend.ru/content/chto-nado-570
Профессия интернет-маркетолог		1	https://irecommend.ru/content/professiya-internet-marketolog-1
