header	text	verdict	link
Ужасное обучение с ленивыми преподавателями	"Проходил я курс: Инженер по ручному тестированию Хотелось бы начать с малого - это подача материала. Весь материал в тексте, видео крайне мало еще и написан языком который способен понять специалист со знаниями но никак не новичок. Версии программ указанные в курсе были устаревшие на несколько лет а ссылки на их проекты для обучения и подавно, пришлось через координатора вытаскивать информацию по подключению, что добавило дополнительного стресса и потерю времени. Отдача менторов вообще на крайне тяжелом уровне, я сам не обращался за помощью но в общей беседе вопросы задавали довольно часто и ответ был либо некорректным и вообще на другую тему либо поступал через 2-3 часа а то и вообще на следующий день(я привожу в пример вопросы которые задавались в их рабочее время). При отправке ответов на заданные задания, их даже не проверяли. Я это понял лишь в середине курса когда начал более подробно смотреть на ответ ментора. Он указывал на ошибки которых у меня не было и хвалил за дополнительно выполненную работу которую я не делал, а во время сдачи дипломной работы и ""стажировки"" в ""компании"", я вообще выполнил лишь половину заданий из-за отсутствия времени и данных заданий которые вообще не подходили к тому чему нас обучали (хотя это обучение для специалистов с нуля), и там мне конечно же ставили наивысшую оценку говоря, что я сделал всё идеально. Когда я решил сходить на онлайн вебинар для получения дополнительных знаний я был еще в большем шоке, я так понял вебинары делались для всех групп связанных с тестированием потому что преподаватели работали в программах которым нас не обучали да и не планировали обучать вообще. Да и сами преподаватели по пол часа сидели и разбирались в программе, будто в нее зашли впервые в жизни(Говорю только про несколько вебинаров, в записях действительно были полезные и качественные вебинары). Хотелось бы сказать про ""Знания"" которые мне дал этот курс за 72.000 рублей, теории действительно много и т.к я ничего не знал о профессии я получил много нового, но после поиска работы я понял что даже базовые навыки многие не были даны. По тому что указывается на сайте тоже много несостыковок, работы с баг-треккерами - отсутствуют, основы тестирования IOS и android приложений - отсутствуют, тестирование API это даже базой назвать сложно. После того как я задал вопросы по поводу отсутствия уроков на эти темы, мне сказали ""Это же интенсив который ускорен с 4 месяцев до 2 месяцев, что вы хотели выучить за 2 месяца"". Скажу сразу, у них 2 разных курса интенсив(2 месяца) и обычный(4 месяца), указано что знания получите одинаковые, различие лишь в том что на интенсиве вам придется больше уделять времени учёбе, а обычный вы спокойно можете совмещать с работой. Что касается помощи поиска работы после окончания курса. Её нет. Не знаю что еще сказать если честно. Компании которые сотрудничают с этой школой не набирают Junior специалистов и по этому к ним вы не попадёте, да и после таких курсов сложно сказать что вы Junior. Ну а помощь в составлении резюме опять только в текстовом виде, даже сопроводительное письмо. Заявленной стажировки не было тоже, это очередное задание с текстом без помощи специалистов, как будто дали просто еще 1 задание по курсу, могли бы хоть там какого-то специалиста дать на группу чтоб делился опытом и подсказывал что-то. Не знаю, может это я слишком много ожидал за такую стоимость но в группе было около 30 человек, думаю не сложно посчитать сколько денег было заплачено, да и найти преподавателей за эти деньги на 2 месяца можно было. Курс я проходил в 2024 году с 11 января по 21 февраля(кстати да, они даже 2 месяца не учили и я не знаю зачем они ссылались на отсутствие времени на обучение). Подведу краткий итог за такую оценку ставлю заслуженную 1 звезду Плюсы: - Хоть какая-то теория - Отличный координатор который всегда поможет и подскажет(по крайней мере у нас была такая) Минусы: - Цена/качество - Отсутствие стажировки - Отсутствие заявленных знаний и услуг - Отсутствие знающих преподавателей - Ужасная обратная связь от преподавателей - Несоответствие уровня обучения(точно не на Junior) - Отвратительная подача информации и знаний - Устаревшие версии данных и программ(на год уж точно устарели, а некоторые и на 2 года) - Отвратительное доп. обучение"	0	https://irecommend.ru/content/uzhasnoe-obuchenie-s-lenivymi-prepodavatelyami
Прохожу курс дата-аналитики, довольна выбором	"Выбрала курсы дата аналитики, потому что хочу сменить профессию и работать в IT. Сейчас я не работаю, образование филологическое, поэтому мой выбор пал на аналитику, как одну из самых доступных профессий для людей из гуманитарных сфер. Обучаюсь на курсе с 20 июня, чуть больше месяца на данный момент, завершила первый проект по модулю E-commerce - ""Анализ бизнес-модели"". В этом модуле мы научились работать с Google Sheets, узнали о юнит-экономике, изучили основы маркетинговой аналитики и продуктовой аналитики, научились делать когортный анализ. В итоге спустя месяц у меня есть уже небольшой проект в Google Sheets для портфолио, которым я горжусь, потому что долго над ним работала. Вот парочка скриншотов: Сейчас началось изучение SQL. Что мне нравится в курсе: - материалы есть и в формате текста, и в формате видео - обучение скорее напоминает игру, проходить модули очень интересно, но не всегда просто - практики не меньше, чем теории, над многими заданиями приходится подумать - менторы на связи даже на выходных, охотно отвечают, не стесняюсь задавать глупые вопросы - каждую неделю проходят вебинары, дополнительно раскрывающие темы курса - центр карьеры тоже часто проводит вебинары, бесплатно можно получить 1 личную карьерную консультацию - после всех модулей есть обратная связь Обратите на это внимание, если думаете, выбрать или нет: - цена. за все хорошее приходится платить, у меня рассрочка на 12 месяцев с платежом 11 749 р. (140 988 р.) - время на учебу. в среднем на прохождение модуля у меня уходит 4-8 часов. модулей в неделю 2-3. на проект вообще у меня лично ушло 4 полных дня работы. то есть я посвящаю учебе от 8 до 24 часов в неделю. бывает, что я завершаю модуль быстро и изучаю дополнительные материалы, но бывает, что успеваю впритык. расписание при этом достаточно гибкое, можно взять перерыв. - есть при составлении модулей мелкие косяки. например, не советуют представлять данные в виде круговой диаграммы, если более 3-4-х делений, а в следующем юните задание сделать такую диаграмму с большим количеством делений. На данный момент я довольна, что выбрала Skillfactory. Я понимаю, что найти работу будет не просто, но я чувствую, что стою на правильном пути. Во всяком случае я знаю и умею гораздо больше, чем месяц назад."	1	https://irecommend.ru/content/prokhozhu-kurs-data-analitiki-dovolna-vyborom
Не думайте связываться. Сплошное надувательство	Запомните сразу, скидка на любой курс – это такой маркетинговый ход. Стоимость курса ВСЕГДА продается со скидкой. И вы всегда успете записаться! Да и сам материал можно при желании найти в сети за бесплатно. Взял курс, чтобы попробовать, что почем. Хотя было написано, что первый месяц бесплатно, без оплаты всего курса, доступа не давали. Тут вдруг для удобства клиента возник банк-партнер, который выдавал беспроцентный кредит всего лишь по ответу на СМС. Вот чуяла моя задница, что не надо было брать этот кредит, но об этом позже. Зайти в свою группу оказалось тем еще приключением, ссылка вела на курс, на котором туева хуча таких же групп. Пришлось листать и искать свою по номеру. Для внутреннего чата пришлось устанавливать еще одно приложение. Учебные лекции – залежавшийся материал 15 летней давности, половина вообще не по профилю. Первый вебинар – какие две тетки трындели о предмете курса какими то непонятными жаргонами. Первый модуль – авторы-ведущие два вчерашних студента Маша и Юра. Вообще ниАчем. В общем, я понял, что контора просто рубит бабло на доверчивых лохах и за неделю до окончания месяца написал заявление о досрочном завершении курса и возврате денежных средств. Через пару дней мне сообщили, что кредит возвращен банку. Потом пришло письмо с предложением написать положительный отзыв за скидку на любой другой курс. Не прошло и четырех месяцев, как я случайно узнал, что кредит досрочно погасить не удалось, и я остался должен банку-партнеру. При моем обращении на платформу, мне посочувствовали и посоветовали решать проблемы с банком самостоятельно. Просьба выслать мне документ, по которому произвелось погашение кредита была попросту проигнорирована. Мой бывший куратор уже не работала.	0	https://irecommend.ru/content/ne-dumaite-svyazyvatsya-sploshnoe-naduvatelstvo
Халявы не будет.	Почитал я тут отзывы других, в чём то они правы но в большинстве случаев сами виноваты. Если решили учится так надо учится, а если вы считаете что раз заплатили то за вас менторы должны все работы сдавать? и чему же вы на учитесь. Вам обещают поддержку менторов да есть, Актуальный материал, так при мне его уже 3 раз переписывают, что доставляет небольшой дискомфорт, при переходе из потока в поток Обещают что вы будете учится в своём темпе, тоже есть, я так на полгода замораживал курс. Но скажу что заморозка это не очень хорошо в плане обучения тяжело потом возвращаться. Насчёт возврата денег ничего не скажу, так как я пришёл не пробовать, а учиться, да тяжело, да не понятно много, но в 40 лет освоить новую профессию с нуля, что легко и не принуждённо должно быть, снимите розовые очки. Это нормальная школа, где можно научится, до есть и минусы, но где их нет. Хотите пробовать ищите бесплатные курсы, твёрдо решили учится можете поступать. Повторюсь я уже год учусь, с перерывом в пол года и всё нормально.	1	https://irecommend.ru/content/khalyavy-ne-budet-1
Прохожу в SkillFactory курс «Маркетолог-аналитик» и очень довольна	Работаю в SMM, но понимаю, что потолок в этой профессии уже близок. Искала обучение, чтобы получить возможность горизонтального роста в карьере, переход в другие отделы, но на основе моих текущих знаний.  Выбирала между несколькими похожими курсами, в итоге остановилась на этой программе. На этапе выбора сравнивала и этот и более дешевые курсы. Но в итоге остановилась на известном, а не ноунейм бренде, чтобы было больше шансов получить качественный продукт. В целом, так и вышло, сейчас прошла около трети курса, пока всё нравится.  Я вообще не знакома с языками программирования, а курс предполагает некоторое погружение в них. Честно говоря, думала, что маркетинговые модули проскочу легко, а на ITшных сдамся и всё брошу. Но в тех занятиях, что я прошла, пока всё выстроено очень классно и понятно для новичков. Например, погружение в SQL и прочие программы для анализа началось с небольших вводных модулей. Их не сложно проходить, объем информации небольшой. Успеваешь со всем разобраться и не схватиться за голову.  В курсе несколько модулей — внутри разделы с видео и текстовыми лекциями. Видео — короткие. Пока попадались самое длинное, наверное, минут 10. В среднем около 5 минут. Теория из видео дублируется в тексте ниже, удобно к ней возвращаться. В конце некоторых разделов тесты для самопроверки. Да, меня добавили в Slack. Внутри пространства всё разделено на модули. Это помогает ориентироваться, где искать ответы или куда задавать вопросы. Из плюсов такой поддержки — все студенты задают вопросы в конкретном чате по конкретному модулю. Когда у меня возникают вопросы, я сначала ищу через поиск, не спрашивал ли кто-то тоже самое до меня. Это гораздо удобнее, чем приватные вопросы в личку, как у меня было раньше, на других курсах. Есть ощущение, что главная страница личного кабинета студента грузится медленнее чем хотелось бы. Иногда нажимаешь и приходится прям ждать. В учебных модулях такое тоже иногда бывает. Не совсем понятно, как отслеживать сроки обучения. В личном кабинете есть вкладка с расписанием, но, честно, там очень муторный процесс по выяснению, идёшь ты на опережение или уже критически отстал. На начальных этапах не страшно, думаю, сейчас я впереди или в темпе группы, но на более сложных темах это важно для меня.	1	https://irecommend.ru/content/prokhozhu-v-skillfactory-kurs-marketolog-analitik-i-ochen-dovolna
За опытом и знаниями только сюда	Всем привет! Мой отзыв будет на курс UX/UI-дизайнер с нуля до PRO. Отзыв будет коротким Но начать хочу с самого важного, я верю в онлайн-образование и в то, что это возможность для меня улучшить жизнь и увеличить доход. Школу и курс мне посоветовала однокурсница, она сейчас проходит там курс, ей нравится. Школу долго не выбирала, все решила заложенная в курсе стажировка в агентстве и куча практических задач, который ты сам делаешь под присмотром наставника. А еще я видела работы однокурсницы и тоже так захотела! Я в начале пути, но уже делаю в Figma прототипы и помогаю друзьям со стартапом! Три месяца назад я ничего не умела, а уже на проекте, меня это очень мотивирует и вдохновляет. Курс состоит из коротких лекций и кучи практики. Обучение на классной, современной платформе. Мне это подошло. Советую.	1	https://irecommend.ru/content/za-opytom-i-znaniyami-tolko-syuda
Знают как раскрыть свой потенциал!	Привет друзья! Хочу поделиться с вами опытом прохождением курсов по графического дизайнера от Skypro. Во-первых, раньше я ничего не знала о дизайне, но всегда была заинтересована в этой области. Решила попробовать свои силы на этой платформе и не пожалела об этом. Первое, что меня поразило, это доступность материала. Препода говорили языком, понятным каждому, даже тем, кто никогда не работал с дизайном. Они шаг за шагом объясняли основы и тонкости работы в программах, у меня даже вопросов особо не возникало. Кроме того, мне понравилась структура курсов. Они были разбиты на небольшие модули, что делало их усвоение более удобным. По мере прохождения курса, я заметила как мой навык растет. Я начала понимать как работать с цветом, композицией, шрифтом и др. Но самое важное-это практика. Преподаватели дают много домашних заданий и проектов,которые дают закрепить темы. В конце курса,когда я получила свой сертификат, с которым я уже могу идти на собеседование и устраиваться на работу. В общем, я очень довольна прохождением курсов Skypro. Они помогли мне раскрыть свой внутренний потенциал и обучили как работать в программах. Рекомендую всем,кто хочет работать в графическом дизайне, не задумываясь выбирайте этот курс. Они знают как вдохновить и научить!	1	https://irecommend.ru/content/znayut-kak-raskryt-svoi-potentsial
Курс не то, чем кажется	Мой реальный отзыв про то, как я отучился несколько месяцев на тестировщика ПО в Яндекс Практикуме, получил сертификат и устроился на работу. Как и многие другие, я купился на громкое имя – это же знаменитый Яндекс, с крутейшими продуктами, он не может сделать плохо. Прошёл идеально вылизанную рекламную завлекаловку – бесплатное введение в профессию тестировщика ПО. Восхитился тем, как оно интересно и понятно написано – и оплатил курс целиком. К сожалению, тогда ещё нельзя было платить по частям… Знай я хоть немного о том, что предстоит, не стал бы связываться, либо бы отдал деньги только за первый спринт. Для начала, за неделю до начала занятий Практикум прислал письмо, в котором без лишних расшаркиваний оповестил, что заявок оказалось слишком много, и меня перебрасывают в следующий поток, стартующий через месяц. Впоследствии я узнал, что в этом был не одинок – такие письма счастья получил целый ряд учеников. Причём тех, кто сразу не возмутился, хотели прокатить и по второму разу. Я, на свою голову, не потребовал деньги назад, а настоял на прежней дате и решил довести дело до конца. Вот как было организовано обучение: Программа разделена на 5 спринтов (частей) по 2-3 недели каждый: теория тестирования, тестирование веб-приложений (+снифферы), тестирование мобильных приложений (Android studio), основы баз данных (PostgreSQL+консоль), основы автоматизации тестирования (JavaScript). Отдельно – дипломный проект и программа трудоустройства. Почти в каждом спринте – теория, затем – неделя на практический проект. В спринте с БД – ещё тренажёр для отработки кодинга, а в спринте с JS – только теория и тренажёр, без проекта. Всех учеников собирают в мессенджере Слаке, разбив на группы и каналы; общение неформальное и очень приятное. Преподаватель и наставники – настоящие работающие тестировщики. Они проводят вебинары, подкидывают полезные допматериалы, рассказывают о секретах профессии. Ребята действительно стараются, и в том, о чём я напишу дальше, я их не виню – они просто поступают по инструкции. ПЕРВЫЙ огромный недостаток Практикума – ужасно написанный учебник. Его явно писала куча разных людей, причём редактуру проводили не технические спецы: грамматически всё правильно, но по сути – часто абсолютно непонятно. Абзацы могут быть не связаны друг с другом, построение фраз хромает, смысл теряется. Более того, целые куски спринтов перепутаны местами: например, задание по JSON нам надо было сделать во 2 спринте, а сам разбор формата оказался только в 3 спринте! Мы, конечно, погуглили и сами, но зачем так было делать – неясно. Тренажёр для отработки кодинга кишит багами. А решать задачки в нём можно только одним задуманным способом (иначе система не примет ответ). Копировать куски кода из теории лучше не стоит: их же код в их же тренажёре может не работать – например, потому, что какая-нибудь буква «с» в английском слове окажется, на самом деле, русской. Да, Яндекс Практикум учитывает свои ошибки, они даже создали отдельный канал в Слаке для сбора отзывов и замечаний учеников. И оперативно допиливают продукт, латая критические прорехи. Но лично мне обидно, что заплатил я немаленькую полную сумму (50 тысяч), а получил сырой, недоделанный курс, который на мне же и отлаживают. Впрочем, если насчёт материала я уверен, что однажды они доведут его до ума, то насчёт главного – принципиального нежелания учить – такой уверенности нет. ВТОРОЙ большущий недостаток Яндекс Практикума – списывание своих косяков на «так задумано» и непонимание мотивации и потребностей людей, которые платят за курсы. Чуть ли не каждый раз, когда отчаявшийся разобрать что-то в этой белиберде ученик писал преподавателю или наставнику в чат, те отвечали максимально размытыми и туманными формулировками. А в ответ на недоумение шёл бесконечный однообразный газлайтинг: «а что вы хотели, в жизни так и будет, даже хуже, ТЗ всегда непонятны, а мы учим вас гуглить и быть самостоятельными…» И тут возникает вопрос: а зачем мне тогда вы за 50 косарей? Я прекрасно понимаю, что учиться самому – сложно, что гуглить – долго, постигать сложный материал – нервно. И именно поэтому решил заплатить за курсы. Чтобы не тратить лишнее время и нервные клетки, а получить красивую, понятную, быстро усваиваемую систему знаний. А вместо этого я несколько месяцев провёл, тратя кучу лишних часов на сбор нужной информации по крупицам в интернете, при этом ещё и жутко стрессуя от дедлайнов и несправедливости происходящего. Смешная деталь: уже в конце моего обучения Практикум собрался усилить свой позитивненький гипноз – добавить в материал главу про то, что скачки стресса в процессе обучения – это нормально. Нет, ребята, не нормально. Не хочу беситься, а хочу учиться! Разумеется, в такой обстановке ученики начали друг с друга списывать, объединяться в тайные чаты, и в итоге помогали друг другу больше, чем преподаватели. Кто-то уже открыто писал в Слаке, что сам не справляется, и за него задание делает друг/муж-айтишник. На 5 спринте с JavaScript (дремуче-непонятном и потому бесполезном) чаша народного терпения переполнилась, и (м)ученики накатали в Слаке огромный тред с воплями. Практикум молчал. От дипломного проекта все обалдели ещё больше – нереальный объём и сложность, и всего 2 недели на выполнение. И тогда в Слаке отписались даже те бедолаги, кто смиренно молчал, надеясь на трудоустройство в Яндексе. Под бомбардировкой комментариями Практикум сдвинул срок на неделю, но всё равно в жёсткий дедлайн уложились не все. Наконец, вишенки на торте: - у ревьюеров (проверяющих проекты и диплом) нет чёткой системы проверки. Задачи, выполненные одним и тем же способом, один ревьюер зачтёт, а другой – нет. На дипломе некоторые ревьюеры вообще кидали ученикам шаблонные одинаковые рецензии с якобы найденными ошибками, которых у учеников, на самом деле, не было. - заявленных 10-20 часов в неделю на курсы вам не хватит. Материал слишком запутан и огромен. - просто «оконченной средней школы» для успешной учёбы вам будет недостаточно. Разве что, вы её окончили вчера, и была она с сильным уклоном в информатику. С нашего потока «на второй год» улетали даже практикующие айтишники. - многочисленные слащавые отзывы о Яндекс Практикуме в соцсетях – заказуха. Куратор кидала в Слак призыв студентам писать у себя рецензии за подарки от Яндекса. Никто не намекал, что отзывы должны быть позитивными, но всем всё было ясно. - от того, у какого наставника в группе вы окажетесь, зависит, сколько знаний получите. У них есть норма – 1-2 вебинара на каждый спринт, но некоторые наставники по своей инициативе проводят дополнительные разъясняющие встречи. Повезло попасть к такому человеку – отлично, не повезло – сидишь без объяснений. - в обучении Яндекс продвигает свои некоторые продукты – их интерес понятен, но идёт вразрез с интересами учеников. Например, вместо популярной Jira – Yandex Tracker, а в ТЗ к дипломной работе вообще было написано, чтобы студенты загружали скриншоты на Яндекс Диск (что абсурдно – зачем тогда вообще нужен баг-трекер?). Я не умаляю объём знаний, полученный за эти месяцы, он реально огромен. Но получил я его не столько благодаря Практикуму, сколько вопреки – из-за собственного упорства и активного гугленья. Можно ли было освоить всё это без нервотрёпки, времяжора и таких серьёзных денег? Однозначно. Моя история закончилась тем, что ещё на 5 спринте я прошёл шестое по счёту собеседование на джуна и получил оффер. Тимлид впечатлился тем, как я решил задачки, но я честно ему сказал, что за это благодарю не столько Практикум, сколько Гугл и Udemy. Хорошенько подумайте прежде, чем поступать в Яндекс Практикум. Если идёте за знаниями – гуглить можно и бесплатно, с тем же успехом. Если нужна бумажка-сертификат – тут вы заплатите за неё слишком высокую цену (и в деньгах, и в нервных клетках).	0	https://irecommend.ru/content/kurs-ne-chem-kazhetsya
Отличная школа	"Данная школа не числится в реестре недобросовестных поставщиков и нет никаких исполнительных производств с материальными взысканиями. При том за 10 лет их работы на рынке! А этот значит, что проблем с возвратом средств у вас не возникнет. Хитрых ходов в договоре отстутствуют. Чем не могут похвастаться основная масса образовательных интернет-площадок. Лично для меня это было приоритетом, помимо прочитки отзывов в интернете. Одними отзывами не отделаться, так я судился с Geek Brains (антиреклама этим мошенникам, отучился 3 месяца из 24, отказались мне возвращать пропорциональную сумму. Пришлось судиться. P.S. выиграл суд, но морока растянулась на целый год). Что касается самих же курсов HTML Academy, может кто-то сказать, можно найти информацию и самому в интернете или все есть и так в спецификациях, так можно рассуждать о практически любой профессии. Но на то и курсы, чтоб вести вас за ручку и давать то, что вам необходимо, учат вас пользоваться информацией и искать ее. Решать задачи, где тебе правильно подскажут. А не решат за тебя ее. Тут именно обучают, тут ты действительно будешь учиться. Грамотно подобрано введение в курс дела. Где ты себя не ощущаешь ""болваном"". Я ощущал дозу эндорфина, что я трачу время на учебу и у меня все получается. Что до меня смогли донести информацию, от которой до этого я был далек. В общем, рекомендую, школа знает свое дело."	1	https://irecommend.ru/content/otlichnaya-shkola-95
Была на ознакомительном уроке офф-лайн, проходила бесплатные курсы онлайн по граф.дизайну и фотографии	"Со школой Skillbox я знакома уже несколько лет. Сперва проходила бесплатные 3-дневные онлайн курсы по фотографии и графическому дизайну, а недавно сходила на ознакомительный офф-лайн урок по digital дизайну. И впечатления от полученного опыта неоднозначные. С одной стороны, онлайн уроки слишком затянутые и нудные. Из 2,5 часов полезной информации и практики от силы минут 20-30 (как правило, ближе к концу), все остальное - болтовня, бессмысленные мотивашки, самореклама спикеров и реклама платных курсов. А учитывая, что все уроки начинались в 19.00 мск, а у Красноярска разница во времени с Москвой - 4 часа, тратить время на навязчивую рекламу вообще грустненько. С другой стороны, посещение офф-лайн урока оставило более благоприятное впечатление. Да, звонившая мне девушка попросила взять с собой паспорт. Но я, собаку съевшая на таких мероприятиях, эту просьбу проигнорировала. Да, реклама платного курса тоже имела место, но об этом меня предупредили заранее, и сначала была практика, а потом уже реклама, на прослушивание которой я имела полное право не оставаться. Находится офис школы в центре Красноярска на ул. Ленина, в красивой стеклянной пристройке к дому №120. Рядом - 2 остановки общественного транспорта, а вот с парковкой - сложновато. Моего преподавателя звали Андрей. Он рассказал, в каком ключе будет проходить урок. Сначала мы нарисуем на iPad простой скетч для календарика в Procreate, затем пройдет экскурсия по школе и в завершении - та самая реклама курсов. На все - около 2 часов. Так получилось, что на первой и второй части я была одна, потом присоединился еще один ученик. В Procreate я никогда не рисовала, поэтому мне было интересно. И оказалось, что программа очень простая для понимания. Имея даже небольшие навыки рисования, ее несложно освоить. И я на самом деле получила кайф от процесса. Это просто находка для художника-иллюстратора. И никакого геморроя, как рисование в Illustrator или Photoshop. Вот такую иллюстрацию, как на последних фото, я создала без особых усилий. Андрей поправлял меня, если я что-то забывала. Я вообще сторонник именно такого, офф-лайн обучения, когда преподаватель и покажет, и расскажет, и на вопросы ответит, и поправит, и похвалит. И материал запоминается лучше, по крайней мере, в моем случае. С онлайном - совсем другая история, подходящая только любителям самостоятельного обучения. Экскурсия мне тоже понравилась. Во всех помещениях школы - лаконичный, но очень уютный дизайн. Комфортная зона ожидания. Приятная девушка на рецепшен предлагает кофе или чай. Казалось странным, насколько небольшие помещения могут быть функциональными и при этом не вызывать ощущение тесноты. Нашлось место даже для небольшой кухни с холодильником, микроволновкой и кофемашиной. А в зале для коворкинга - панорамные окна, выходящие на ул. Ленина. Со слов Андрея, всем студентам на занятиях предоставляется iPad, а для выполнения домашних заданий можно пользоваться любым оборудованием в зале для коворкинга. И, наконец, собственно, 3-я часть марлезонского балета, а именно - реклама курсов. Не буду вдаваться в подробности, перейду к главному - к стоимости. Сам курс состоит из 3 частей (тарифов) - ""базового"", ""профи"" и ""макси"". Занятия - по 2 часа 2 раза в неделю. Базовая часть курса (4 месяца) стоит со всеми скидками ""только сегодня и только сейчас"" - около 96.000 рублей. Судя по описанию ""базы"", это те навыки, которые человек может получить самостоятельно или за более адекватную цену (основы работы в Photoshop и Illustrator, простейшие логотипы, паттерны и т.п.). Procreate, который меня интересовал больше всего, только на тарифе ""профи"", и то как дополнительный навык. При этом если у человека уже есть базовые навыки, и ему нет смысла переплачивать, нельзя начать обучение сразу с уровня ""профи"". ""Профи"" (включая ""базовый"") стоит уже около 198.000 рублей, а ""макси"" (все три части с правом защитить проектную работу) обойдутся примерно в 270.000 рублей. Можно оформить рассрочку до 36 месяцев. Жаль, не спросила, с какими банками они сотрудничают. Но наверно с такими, которые дают кредиты любому обратившемуся, т.к. я предупредила, что у меня работа во фрилансе, и нет официально подтвержденного заработка. Спасибо Андрею, агрессивного маркетинга не было, он ничего не навязывал и вполне нормально отреагировал на четкое ""нет"" после закрытия всех вопросов о цене. Это, что называется, общеизвестный ""лайфхак"": ваше ""нет"" практически во всех случаях избавляет вас от прессинга. А еще я узнала, что у истоков Skillbox стоят те же люди, что и у школы рисования Grafika (отзыв о ней см. ). Общее у них - весьма и весьма завышенные цены, но вот в уровне преподавателей чувствуется разница. Подытоживая все вышесказанное, скажу, что выводы у меня сложились тоже неоднозначные. Он-лайн курсы Skillbox категорически не рекомендую. Минимум пользы при большом количестве ""воды"". А вот насчет офф-лайн - думайте, особенно если квалификация преподавателя соответствует вашим ожиданиям и цена для вас вполне подъемная. Если нет - влезать в кредиты ради обучения не советую. И не верьте, что окупите курс уже в процессе обучения. Ни один серьезный работодатель в России не горит желанием платить большие деньги начинающему специалисту, у которого за плечами только курсы Skillbox, а оплата за одну работу в районе 100.000 рублей - это скорее единичный случай, чем обычная практика. Работа с иностранным заказчиками сейчас под очень большим вопросом. Поэтому не факт, что вы сможете окупить обучение и через год-два, занимаясь только дизайном. А гарантия трудоустройства - это, уж извините, вообще из области фантастики"	1	https://irecommend.ru/content/byla-na-oznakomitelnom-uroke-lain-prokhodila-besplatnye-kursy-onlain-po-grafdizainu-i-fotogr
