header	text	verdict	link
Вы все еще сомневаетесь? Начинайте учить Python!	"Вот раньше как было? Дед был сапожником, отец - сапожник, сын вырастет - тоже будет сапожником. А в наше интересное и быстро изменяющееся время, не знаешь, какие профессии будут востребованы. Живых людей заменяют боты, многие профессии уже не так хорошо оплачиваются, как это было еще совсем недавно... Но зато появляется много новых! Вот так меня и занесло ветром перемен на Ну, может, не совсем ветром... Может, всего лишь сквознячком подуло... Но я отчетливо поняла, выполняя свои обычные обязанности, что скоро и мою работу оцифруют и доверят выполнять какому-нибудь боту бесчувственному, а меня спишут.. Поэтому, пора учиться! Для начала я нашла в интернете несколько курсов, которое обещали интересное обучение и последующее трудоустройство. Но просили за это достаточно большую сумму. И я не могла вот так вот сразу решиться отдать им эту немалую для меня сумму. Меня терзали сомнения, : - выполнить весь план обучения - выделять каждый день несколько часов на выполнение заданий и прослушивание лекций - дойти до конца обучения И сначала я хотела просто потренироваться на интерфейс сайта интуитивно понятный и простой. Много бесплатных курсов, которые дают сертификат, который потом можно указать как плюс к образованию при поиске работы. , курсы очень современные и актуальные. , заниматься можно тогда, когда есть время. И там, где удобно. Я рекомендую ""Инди-курс программирования на Python от egoroff_channel"" на STEPIK - это самый лучший курс для изучения программирования на Python ""с нуля"". Все подробнейшим образом объясняется, все задания по сложности идут от простого к сложному. Видите, какое простое задание? Лекции не длиннее 15 минут, все объяснения ведутся простым, приятным и дружелюбным языком. Для того, чтобы учится, не нужно ничего устанавливать. Все задачи можно решать прямо на страничке с заданием. Можно написать код и проверить, как он работает, нажав черную кнопку ""Запустить код"". Если все работает, можно нажать ""Отправить"" и получить заслуженные очки. Курс до сих по обновляется, появляются новые задачи и лекции. Я уже закончила этот курс, получила сертификат, но продолжаю заходить, решать задачки, смотреть и пересматривать лекции. Сертификат выдается, когда накопится 500 баллов. Дальше я решила освежить свои знания по статистике. Курс ""Основы статистики"" Анатолия Карпова на STEPIK оказался интересным и несложным. Я еще его не закончила, но мне нравится. Очень полезное времяпрепровождение. И еще один сертификат в резюме. Кроме того, сейчас очень популярным стал SQL. Я часто вижу его в в описаниях вакансий. На STEPIK нашелся и бесплатный курс по SQL. Курс ""Интерактивный тренажер по SQL"" Доцента кафедры механики и математического моделирования ДВФУ Озеровой Галины Павловны идеальный начальный курс для тех, кто хочет научится делать запросы на SQL, но пока еще совсем в этом не разбирается. Я очень довольна! Все объяснения краткие, понятные, много простых заданий, которые помогают отработать навыки. В этом курсе все работа ведется в My SQL. Сертификат тоже выдается, нужно набрать всего 136 баллов. Будет еще один полезный сертификат в резюме.  Для меня это был курс ""Введение в LINUX"". Вот выдержка из Введения от создателей курса: Для тех кому лень читать весь текст: BioLinux, по которому идет этот курс, безнадежно устарел. Его стоит использовать только в образовательных целях. —————— Этот курс был создан в 2014 и за прошедшие годы уже успел немного устареть. Вот это сюрприз! И ведь создатели нисколько не преувеличивают. Это чистая правда. Курс устарел настолько, что ни одно из действий в лекции нельзя повторить на ноутбуке с установленной последней версией Ubuntu. Мне очень был нужен вводный курс, я никогда в глаза не видела LINUX но придется мне искать другой источник знаний. Этот зарос мхом... Я все еще в поиске сокровищ на этом сайте, жаль так мало часов в сутках!"	1	https://irecommend.ru/content/vy-vse-eshche-somnevaetes-nachinaite-uchit-python
Хорошая платформа для онлайн обучения. Много интересных и бесплатных курсов на русском языке	– это образовательная платформа и конструктор для онлайн-курсов. : школьникам, готовящимся к поступлению или олимпиадам; студентам и всем, кто заинтересован в самообразовании. бесплатно. Сегодня среди охваченных курсами тем: программирование, информатика, математика, статистика и анализ данных, биология и биоинформатика, инженерно-технические и естественные науки. Самые популярные темы – программирование и математика, но есть и много других интересных тем. Например, курс по грамматике французского языка или курс по выживанию в Санкт-Петербурге. Есть курсы от университетов и компаний (Yandex, Mail ru), а также от частных преподавателей. Курсы, конечно, различаются по качеству изложения материала, но при желании можно найти интересные и грамотно составленные. Мне, например, понравился курс по основам программирования на С++. Каталог не самый удобный, не хватает систематизации курсов по темам, но можно искать по ключевым словам. : зарегистрироваться можно с помощью электронной почты или учетной записи в социальных сетях.  После регистрации можно записаться на любой интересующий курс. Курсы, как правило, включают лекционный материал (видео и конспекты уроков), тесты и практические задачи. В курсах по программированию задачи проверяются в автоматическом режиме, за каждое решенное задание начисляется 1 балл. Есть возможность комментировать, обсуждать решения и задавать вопросы преподавателям. Пример решения задачи: В некоторых курсах есть возможность получить сертификат после прохождения материала и успешного решения тестов и задач. . Несмотря на некоторые неудобства интерфейса, ставлю высокую оценку, так как нашла на этой платформе интересные и хорошо изложенные курсы по программированию на С++ и по грамматике французского языка.	1	https://irecommend.ru/content/khoroshaya-platforma-dlya-onlain-obucheniya-mnogo-interesnykh-i-besplatnykh-kursov-na-russko
Даёшь новые нейронные связи?	"О таком ресурсе как ""Степик"" я узнала совершенно случайно, из телеграм-рассылки. Я как раз планировала пройти курс по программированию на языке Python. А началось все с того, что я записалась на курс ""Аналитика с применением языка Python"" на другом ресурсе и, откровенно говоря, почувствовала, что знаний основ программирования ой как не хватает... Так я пришла к ресурсу ""Степик"". Скрины выкладывать не буду, потому как был случай, когда мой отзыв модератор заблокировал по причине использования изображений из интернета. Хотя здесь они могли бы быть уместны. Итак, я обучаюсь на курсе ""Поколение Python"", прошла первый блок леционного и практического материала, уже допущена к экзаменационной работе по первой теме ""Ввод и вывод информации"", но не могу пока собраться с силами начать экзамен. Дело в том, что на прохождение экзаменационного задания (каково количество и тип заданий я не знаю) отводится 240 минут, то бишь 4 часа, кол-во попыток для решения каждого из заданий не ограничено, но приступить к экзамену можно лишь единожды. Таким образом, я выжидаю момент, когда я на 100% буду в здравом уме и при памяти, чтобы не облажаться. Вот это, конечно, стимулирует к учёбе и повышает ценность результатов обучения и полученного сертификата, но в то же время может тормозить ход обучения. О том, как пройдёт мой первый экзамен на ""Степике"", напишу позже"	1	https://irecommend.ru/content/daesh-novye-neironnye-svyazi
Самообразование - легко и бесплатно! Стоит обратить внимание родителям старшеклассников: подготовка к ЕГЭ по математике	У нас у всех есть разное хобби, а у меня есть огромное желание учиться: учиться всему новому, ведь в жизни все может пригодиться! Обучение онлайн - новое направление 21 века: ты может учиться чему хочешь, когда хочешь и где хочешь, главное, чтобы был интернет. И еще, конечно, здорово учиться бесплатно. Что все-таки редкость в последнее время. В поисках подходящей платформы для обучения я наткнулась на Привлекла Легко передвигаться по поиску курсов. Лучшие, гуманитарные, математика и т.д. что важно как для старшеклассников, так и их родителей. Лишняя тренировка/подготовка точно не повредит, бесплатная помощь, возможно новые знания или методики решения задач.  . Рассмотрела многие, было интересно, в рекомендациях автор курса пишет, что курс будет интересен студентам младших курсов, изучающих программирование. Для людей более взрослого возраста предусмотрена категория . На ней я пока и решила остановиться. Хочется время проводить с пользой и новыми знаниями. Проект развивается как открытая площадка, где можно разместить свой курс, урок, олимпиаду, т.е. открыт для всего нового и интересного. . Удобно включаться в обучение в пробке, в ожидании своей очереди к врачу и т.д.  Как я уже сказала выше, я решила заниматься латинским языком. Говорят, что латынь - язык мертвых. Вот это я и узнаю из курса. Заниматься будем грамматикой языка. Как я поняла, что мне будет это интересно? Просто посмотрела Оценила свои сила и вперед! Приятно, что что посмотреть, что сказать/приобрести/найти. Еще раз делается акцент на У каждого курса Учащиеся ставят звездочки, пишут достоинства и недостатки. Для меня это информация была полезной. Перед зачислением полезно ознакомиться также с содержанием курса. Как видим, темы разбиты на пункты с небольшими роликами. Волнительный И вот моя учеба уже началась. Впереди новые знания, задания ... трудности, интересный досуг одним словом! Кстати Мало ли что в жизни пригодиться)))  - бесплатное образование - много курсов - выдают сертификаты - курсы рассчитаны на разные категории людей - интересные лекции я рада, что узнала о новом интернет-проекте по образованию. Советую другим присмотреться к списку курсов (а они добавляются), учиться никогда не поздно. Мамы в декрете тоже найдут интересные материалы и уроки, пока их малыши крепко спят. __________________________________________________________________________________________ также можно заниматься для	1	https://irecommend.ru/content/samoobrazovanie-legko-i-besplatno-stoit-obratit-vnimanie-roditelyam-starsheklassnikov-podgot
Заработок на фотографиях автомобилей.500 или 3000 рублей за день, твой заработок зависит только от тебя.	Всем привет! Меня зовут Света и я мама в декрете, и тема дополнительного заработка для меня всегда актуальна. Я частенько мониторю на Авито различного рода подработки и иногда нахожу что-то интересное и хорошо оплачиваемое. Так случайно я обнаружила Автограм. Именно так гласила надпись на Авито. Заманчиво, подумала я и оставила отклик, с просьбой подробнее рассказать о данном заработке. Через несколько минут мне ответили… ссылкой. Странно конечно, но в принципе, я ничего не теряю. Перешла по ссылке, и попала в чат-бот телеграмм. Там я прочла инструкцию и правила работы. Все просто и понятно: делаешь снимок автомобиля согласно правилам и за каждое фото тебе платят 1 рубль (да, не густо). Вывод для новичков от 500 рублей, далее от 1040 (40 рублей комиссия). Прикинув сколько машин я могу сфотографировать гуляя со своей лялей на колясочке, в моей голове сформировалась хорошая сумма. Так я решилась затестить Автограм. Прежде чем приступать делать снимки авто, настоятельно рекомендую изучить все правила, хотя они просты как две копейки. Если часто нарушать эти правила, вы рискуете попасть в бан. То есть вас заблокируют, заблокируется и ваш баланс.Также есть бан с обнулением, то есть, все заработанные деньги обнуляются. Для таких случаев создан специальный чат в телеграмм. Если вас заблокировали, вы можете обратиться за разблокировкой. Я конечно удивилась, как люди тупят и с первых фото попадают в бан. Чтобы сфотографировать машину с гос номером, с указанного расстояния, для этого ведь много ума не надо. Прежде чем фотографировать машины, я задумалась, а законно ли это? Не связано ли это с мошенничеством? И начала гуглить в интернете что есть этот Автограм и зачем вообще кому-то понадобились госномера машин. У Автограма есть официальный сайт. Если коротко, то это платформа, разработанная для поиска информации об автомобиле. Итак, теперь о самом интересном. Расскажу вам о личном опыте работы и поделюсь суммой заработка. Все снимки нужно отправлять в ваш бот телеграм. Я начала со своего двора, с первой попавшейся машины. Сделала один снимок и сразу отправила на проверку, и тут же мой энтузиазм сбавил обороты, потому что кто-то до меня эту машинку уже сфотографировал. Сфотографировала следующую, и мне начислили 1 рубль. Ну и в общем я понеслась. Где то за полчаса я наснимала 150 машин, из них получила вознаграждение только за 73 снимка. Да, уже много машин имеется в базе. Ещё через полчаса мой баланс пополнился на 90 рублей, и тут я начала косячить с фото. То сделаю снимок издалека, то случайно обрежу… Решила что на сегодня хватит и отложила это дело до завтра. Стоит отметить, что живу я не в маленьком городе, поэтому с количеством машин у меня проблем не было. На следующий день я заработала ещё 200 рублей, добить до суммы вывода мне оставалось совсем немного. И на третий день за 20 минут я наконец таки достигла заветных 500 рублей и тут же подала заявку на вывод. Выводятся средства на банковские карты, ранее был только сбер, сейчас вроде и на карты других банков. Поступают деньги на счёт в течении суток. Мне например пришли спустя 3 часа после подачи заявки на вывод средств. Одним из главных плюсов я считаю удобный интерфейс. Не нужно скачивать никаких приложений с долгой регистрацией, все легко и просто. В боте у вас будут отбражаться успех и неудача. Успех это все снимки, за которые вы получили вознаграждение, а неудача - все неутвержденные снимки ( не соответствующие правилам). Мне например такая функция отслеживания своих побед и поражений очень понравилась. Во вторых, также отмечу работу модераторов и технической поддержки. По всем вопросам можно писать в общий чат, где тебе сразу же отвечают, указывают на ошибку и приводят образцы удачных снимков. Модераторы там адекватные люди, и если человек (с небольшими ошибками в работе) попросит разбан, он его получит. Но если человек совсем уж не умеет камеру в руках держать(а таких к удивлению очень много), то их блокируют с обнулением. В третьих, очень понравился тот факт, что при достижении 500 успешных снимков, с вас снимается опасность угодить в бан. Например, когда я приближалась к этому числу, из 450 успеха, у меня было 39 неудач и я переживала что меня заблокируют, и я так и не смогу вывести средства. Иногда среди участников проводят поощрительные конкурсы, где заработанную сумму умножают в два, а то и в три раза. Представляю себе лица этих счастливчиков. Из минусов конечно же хочется отметить слишком мизерную оплату, хотя в чате пишут, что возможно будет повышение. Но тогда и машин уже будет очень мало… Если по факту, то уже много машин занесено в базу. Из 1368 снимков что я сделала, только за 912 я получила вознаграждение. Да, действительно, Автограм - это легкий заработок денег. Я вижу в чатах людей, которые уже там заработали больше 10 тысяч рублей. Там даже есть рекордсмены, которые за несколько часов зарабатывали по 4-5 тысяч. Конечно же я, мамочка с младенцем, о таких суммах и не мечтаю, но все же интересный был опыт. А сколько было азарта и адреналина, чтобы незаметно фотографировать машины и не получить за это люлей. В общем, Автограм как заработок, появился совсем недавно, поэтому думаю проживет ещё месяц другой. Подойдёт больше всего студентам, потому что многое зависит от скорости и умения хорошо фотографировать. Ставлю данному виду заработка твёрдую четверку. Пятёрку не поставлю только из-за очень низкой оплаты человеческого труда.	1	https://irecommend.ru/content/zarabotok-na-fotografiyakh-avtomobilei500-ili-3000-rublei-za-den-tvoi-zarabotok-zavisit-tolk
Подробный отчет о моем обучении,качестве подаваемого материала,и схеме которая предлагается.А так же, сравню с другими курсами.	"Всем доброго дня! Я знаю точно,что многие,прежде чем заплатить за обучение в не госучереждениях,гуглят информацию о том или ином заведении,и читают отзывы.Я и сама сделала так же,почитала отзывы и пособирала немного информации.И мое ощущение о компании сложилось 50% на 50% т.к подробного описания о конторе я не нашла,а как и положительные так и отрицательные отзывы не раскрывали доподлинно своей стороны. Поэтому, я очень надеюсь, что мой отзыв поможет всем тем, кто желает КАЧЕСТВЕННО поднять уровень своих знаний. Для начала вы можете воспользоваться пробным уроком,что б понять куда и как подключится,послушать качество звука и видео. Далее,если вы решили тут учится, то на сайте регистрируетесь,выбираете курс,выбираете даты когда вам будет удобнее,и бронируете.С вами связывается менеджер, вносит вас в расписание обучения, и вы оплачиваете курс. Про качество обслуживания клиентов,тоже хочется вставить пару слов,т.к деньги ты отдаешь за обучение все же не такие малые,то хочется нормального отношения со стороны персонала,который бы выполнял свою работу.Мне же досталась откровенная хамка,которая еще и бесилась, если ее переспросить.Все дело в том,что качество телефонной связи совсем не фонтан(как на входящие звонки,что на исходящие), в трубке слышались какие то пикающие звуки,с интервалом повторения в 4 сек,которые при этом еще и покрывали некоторые слова во время разговора.На просьбу отключить все что там издает такое,мне ответили отрицательно,мол с их стороны все ок.Кроме как при разговоре с сотрудниками ""Специалиста"",подобных проблем у меня в жизни с телефонной связью не встречалось. Покажу на примере Java,т.к именно основам программирования,и тестирования я хотела тут научится. Информация о том к чему вас подготовит курс,так сказать обещания. Далее стоимость всей программы: Выходит по деньгам так не хило.Верно? Затем вы рассматриваете из чего данный курс состоит,сколько ак.часов будет затрачено,и подбираете расписание. О расписании хочу отдельно упомянуть,т.к если вы берете большую программу,вроде той что на скриншоте,то будьте готовы к тому,что занятия например по программированию ""Java.Уровень 1"", а это третий пункт в списке,будут пересекаться к примеру с ""Основами программирования"",а следующие занятия данного курса, будут ну очень не скоро,например через 2-3 месяца.Или например занятия ""Основы решения алгоритмических задач""под п.2 будет вам доступны вообще через 4 месяца. Так у меня вышло с уроками по Selenium,начало которых было не раньше 28.11,в то время как я начала обучение в мае. С расписанием по остальным курсам пришлось ну очень поднапрячься,получилось все довольно плотненько,в противном случае обучение растянулось бы на год,при том что растягивать то там вообще то нечего. Далее,хочу упомянуть про сам комплекс и что он из себя представляет. Конкретно я шла по дипломной программе на тестировщика ПО,и закончила успешно все эти курсы : По программе у меня оставалась еще парочка: За которые мне уже жалко было выкидывать почти полтиник,т.к толку ну скажем совсем никакого. Хочу отметить,что ак.часов по факту получается очень мало,и для получения качественных знаний этого совсем не достаточно. По окончании курса вам в течении 6 месяцев еще будет доступно видео с лекциями,которое вы можете просматривать и просматривать. Еще в программу,насколько я поняла чисто для прибыли,пихают совершенно не нужные вам курсы,которые ровным счетом вам НИЧЕГОШЕНЬКИ не дают.Но менеджер уверяет что без них вы не поймете курс который находится на следующем шаге. Поверьте,следующий шаг,если вы именно начинающий,вы так и так не поймете,но по другой причине,об этом чуть ниже. Курс разбивается на несколько дней,и если вы, к примеру,выбираете несколько занятий по 8 ак.ч,то по факту чисто на занятие вы потратите 7 ак.ч т.к есть еще обед и перерывы по 15 мин,что в общей сложности отбирает 1ч времени,который вам обещали и вы за него заплатили.Далее про +N кол-во часов,которое стоит по программе, это просто консультация в режиме письмо-письмо,чат-чат.Т.е просто уточняющие вопросы по пройденному материалу,не более того. Сама подача материала как говорится ""Галопом по Европам"". т.е простите 7ч,вас знакомят с 3 - 4 темами, но очень,очень поверхностно. Закрепить пройденное конечно можно бы,да материал для отдельного изучения вам не дается. Поэтому выходит у вас не обучение ,а так не пойми что за 100 000-150 000. В конце вам конечно дадут сертификат,о том что вы прошли курс или даже программу целиком,только при трудоустройстве на это смотрят скептически. Как мне кажется сюда можно пойти учится на что то более конкретное,вроде изучения какой либо программы, например Excel, и то наверное если вас сюда направила ваша организация,бесплатно или с хорошей скидкой. Преподаватели в целом составили не плохое впечатление,за исключением одного. Представьте быстро говорящего человека,который говорит настолько быстро что аж захлебывается,при этом еще имеет привычку перескакивать с одной темы на другую,третью,не закончив при этом первую,потом реверсом возвращаясь снова к первой и т. д. А теперь представьте программирование,тема для вас совершенно новая,и в таком изложении.Это настоящий ад.Самого человека я ни в коем случае не виню,он таков каков есть,а вот тех кто поставил этого человека на обучение других людей-да. Каждые 30 мин,в течении 2-3 ч.,группа осаждает преподавателя,с просьбой говорить помедленней,потом это занятие всем надоедает,и ты разочарованно выхватываешь из общего потока что то более менее понятное,и просто надеешься на запись лекции,которую ты будешь смотреть в замедленном режиме))). Но тратя еще +7 ч что бы просто понять за что ты деньги то отвалил. Для успешного тестирования программы,и написания автотестов нужно не только понимать окружение,понимать как работает программ(а\ы) ,но и еще понимать язык программирования.Можно конечно накачать обучающих видеороликов,их в интернете не мало, а еще они бесплатные, и я уверена кто то так и делает. Но я решила пойти другим путем,лично для меня он оказался сильно проще и даже в какой то мере интересным. Так получилось что заглянув на JavaRush перед новым годом,обнаружила хорошую скидку на подписку премиум про на год.Подписка стоила всего 11 500,если мне не изменяет память,вместо 25 000,или около того. В общем,что вы получаете за эти деньги: Из минусов,задачи местами трудно понимаемые,не всегда материал на курсе описан в полной мере,но гугл по статьям тут же в JavaRush,плюс если вы совсем в ступоре над решением задачи,под каждой из них есть комментарии живых людей,которые немного подтолкнут в нужном направлении. В общей сложности за 5 месяцев,не слишком напряженных занятий,я заканчиваю 9 уровень и перехожу к последнему уровню,JavaSyntax.  Думаю что для тех кто идет на программистов,после прохождения javacore,реально будет искать работу Junior. И могу сказать с уверенностью,что в Специалисте такому научится не выйдет. Подводя итоги,могу сказать, что самообучение,которое построено в виде курсов вроде JavaRush(может есть еще какие),реально может дать хороший фундамент,на который вы сами потом сможете укладывать необходимы вам знания.(Например мне курс помог разобраться с синтаксисом в программировании,и теперь я пишу свои автотесты на java). Компания ""Специалист"" меня сильно разочаровала,идя на курсы я ждала большего.Но в реальности потратила деньги,потратила время.Прикрываясь звучным названием ""Учебный центр при МГТУ им.Баумана"", сама система построена чисто на набивание денег в чьи то карманы,не особо утруждаясь при этом набивать ваши головы необходимыми знаниями. Удачи всем,и хороших знаний!"	0	https://irecommend.ru/content/rasskazyvayu-podrobno-o-svoem-opyte-obucheniya-v-dannom-zavedeniikachestve-podavaemogo-mater
Лучший образовательный портал для тех, кто действительно ХОЧЕТ УЧИТЬСЯ	Я проходила курсы на разных обучающих порталах такого плана, в том числе на российском openedu, о котором напишу позже, но моим фаворитом несомненно является именно Coursera. Во-вторых, этих самых курсов тут много в самых разных направлениях: наука, it, искусство, бизнес и так далее. В-третьих, именно у Courser'ы один из самых адекватных интерфейсов, что для меня, например, немаловажно. Ну и в четвертых, качество образования просто потрясающее по многим дисциплинам. Естественно, все зависит от преподавателя и курса в целом, но 95% того, что мне попадалось, действительно было на высоте. Далее же расскажу об этом чуть подробнее на примере одного из курсов, который я завершила прошлым летом. По сути, это просто базовый вводный курс по нейробиологии. Длился он 12 недель, включая диплом на последней неделе обучения (одно другое не исключало, конечно же). Каждый недельный блок разбивался по темам, куда входили видеоуроки, тесты и материалы для самостоятельного изучения, включая главы из учебников для самостоятельного чтения, статьи и дополнительные видео. Кроме того, всегда во всех курсах есть дополнительный раздел - Форум обсуждений. Там для каждой недели своя ветка, где можно задать любой вопрос по теме (да и не только), ответить на который могут, как одногруппники, так и кураторы или даже сами преподаватели. Видеолекций в неделю было в среднем на час с небольшим. Однако, в реальности, уходило в 10 раз больше времени, потому что лекции приходилось конспектировать. И это время, в общем-то, только на знакомство с материалом. В целом, я тратила 2-4 часа в день на учебу, и далеко не всегда все успевала. Сказать, что было тяжело - ничего не сказать. В дальнейшем я узнала, что этот курс соответствует полноценному Гарвардскому курсу в летней школе, разве что тесты и финальный экзамен в разы легче. В то лето я конкретно не досыпала, учитывая, что весь день я работала, как обычный гражданин, и времени на учебу было мало. Курс я завершила с оценкой 94.20%, хотелось бы, конечно, результат повыше, но увы. В оценке учитываются Ваши результаты по еженедельным тестам и за финальную дипломную работу. Собственно, чтобы получить сертификат надо заплатить на данный момент, если не ошибаюсь, 1600 рублей. Сделать это можно в любой момент во время прохождения курса. Мне сертификат не нужен был, но я купила просто из-за того, что очень много усилий было вложено. На самом деле, это всегда самый важный элемент любого образовательного мероприятия. Именно от преподавателя зависит качество курса: материал, объем, подача и т.д. В данном конкретном случае мне, безусловно, повезло. Пэгги Мэйсон не только профессионал в своей области, но еще и отличный педагог. Хорошая речь, живая манера изложения, все понятно и четко, с шутками и интересными примерами. Учиться у нее было огромным удовольствием! На самом деле, ее я вспоминаю так же, как и любимых преподавателей из ВУЗа, с благодарностью и в качестве примера хорошего учителя, хотя у них я училась семестрами, а тут всего лишь 10 недель смотрела видео. Да, было сложно в том плане, что требовалось много времени, и все равно не удавалось на 100% охватить материал. К тому же, сам предмет был для меня совершенно новой областью. Но как в процессе, так и по окончании, я была в полном восторге. Я реально получала удовольствие от учебы. В видео не просто показывали фотографии, картинки и графики, а еще и демонстрировали мозг: разрезая, показывая все части и т.п. Это были настоящие лекции в лаборатории только заочно. А самое главное, я получила знания. И хотя я уже почти год редко касаюсь темы нейробиологии, я все еще очень многое помню, что не может не радовать. Теперь планирую вернуться в конце лета на похожий курс, но уже в университет Дьюка. При выборе, смотрите на оценку курса. Она чаще всего соответствует истине. Реально оценивайте свои языковые возможности. Если курс доступен только на английском, а у вас не очень высокий уровень, лучше подтяните сначала язык. Вопрос не в том, что вы не сможете перевести субтитры через гугл-траслейт, а в том, что вы потратите очень много времени на ненужные манипуляции, а материал едва ли усвоите на должном уровне. Не покупайте сертификат (если он вообще вам нужен), пока не поймете, что точно пройдете курс. Лучше это вообще сделать на последней неделе. Дополнительный лайфхак для платных курсов: если не нужен сертификат, но хочется получить доступ к заданиям и тестам, сначала прослушайте все лекции бесплатно, а затем активируйте бесплатную неделю, чтобы сделать все задания. Многие курсы дополнительно создают закрытые группы в фейсбуке. Если планируете дальше развиваться в этой области, обязательно вступите. Там можно, как завести полезные знакомства, так и просто получать дополнительно интересный контент.	1	https://irecommend.ru/content/luchshii-obrazovatelnyi-portal-dlya-tekh-kto-deistvitelno-khochet-uchitsya
