header	text	verdict	link
Всё заточено исключительно под вытягивание денег с родителей	"Собственно, всё в заголовке. Если не купили полный доступ сразу, то с вас будут ""доить"" деньги за каждый курс. И деньги не малые, хотя сами курсы весьма простенькие и посредственные, явно не стоящие этих денег. Нет, с ножом к горлу, конечно, никто приставать не будет. Просто всё сделано так, что если у вашего ребёнка нет полного доступа, то во всяких специальных заданиях (""квестах"") полноценно участвовать он не сможет. А что такое специальные задания? Это большое количество заработанных баллов. К примеру, за одну решённую карточку ребёнок получает 1 балл, а за 1 не сложный ""квест"" (например, пройти 3 карточки по курсу, который стоит отдельных денег) 30 баллов. Более сложные ""квесты"" - до 100 баллов. При этом весь сайт заточен на соревновательном моменте. И ребёнок непроизвольно начинает соревноваться с другими детьми. Как думаете, в одинаковые условия поставлены дети? Какие эмоции у детей, когда они прекрасно понимают, что физически невозможно догнать детей ""с полным доступом"", просто решая карточки? Сам ""Учи. ру"" изо всех сил вещает, что они стремятся создавать ""равные условия"". Это полная чушь и враньё. Причём, на их же форуме пользователи писали, что как только родителями покупается дополнительный курс, по которому дают задания в ""квестах"", как эти задания в ""квестах"" тут же заменяются на задания из других, ещё не купленных, курсов. Думаю, что для ""Учи. ру"" достойный слоган это ""Деньги не пахнут!"". Советую повесить его на главную страницу вместо своего фальшивого баннера со скидками (баннер со скидками меняется регулярно, цены за прошедшие несколько месяцев не менялись ни разу)."	0	https://irecommend.ru/content/vse-zatocheno-isklyuchitelno-pod-vytyagivanie-deneg-s-roditelei
Второй год на платформе. Наш опыт. Плюсы и минусы. Подводные камни. Олимпиады. Стоит ли оплачивать полный доступ. О покупке курса программирования.	Всем доброго времени суток! Сегодняшний герой отзыва – . Весь наш класс был зарегистрирован на портале классным руководителем, но любой родитель может зарегистрировать ребёнка самостоятельно. Для этого выбираем «я ученик/родитель»… …и заполняем нехитрую форму регистрации. Это портал дистанционного образования, если по-умному, и задания в игровом формате, если по-простому. Есть четыре больших и условно бесплатных раздела: математика, русский язык, окружающий мир, английский язык. Каждый раздел имеет подразделы, которые, в свою очередь, состоят из разного количества тематических карточек с заданиями (сложность соответствует классу, в котором учится ребёнок). Для наглядности – несколько подразделов и тем из курса математики для 2го класса. «Окружайка». И английский язык. Одному ученику в день доступно 20 бесплатных попыток на вышеупомянутые предметы. Можно потратить их на один предмет, можно раскидать, как угодно. Но через 20 попыток (успешных или нет) доступ заблокируется до следующего дня. Родитель может снять лимит, купив доступ к интересующему предмету, либо ко всем четырём по тарифу «всё включено». Также есть по умолчанию . Программирование, шахматы, финансовая грамотность etc. В какие-то из них «пустят» попробовать, но одна попытка отъест пять попыток из 20 бесплатных. В какие-то не пустят вовсе, изначально только за деньги. У учителя есть возможность давать свои задания детям. И каждая попытка также минусует одну доступную попытку из 20 ежедневных бесплатных. Для чего что-то оплачивать и стоит ли вообще – вернусь к этой теме позже. Покажу пример карточки по окружающему миру. Эта карточка состоит из трёх заданий (три фрукта). Если задание выполнено верно, появляется надпись а-ля «отлично!»/«великолепно!», и фрукт укатывается от своих товарищей. Если допущена ошибка, появляется надпись «неплохо!», фрукт остаётся на месте, попытка тратится, а ученику предлагается выполнить задание ещё раз. При выполнении определённого количества карточек, ученику даются звания. Детям необходима мотивация. За выполнение карточек они получают монеты. У каждого ученика есть своя комната и свой динозаврик. За монеты в магазине можно купить одежду и атрибуты и поиграть в дизайнера) Ассортимент магазина) Примерно так это всё выглядит. Есть возможность заходить и смотреть комнаты одноклассников. Ежемесячно на портале стартуют , в которых каждый ученик соревнуется с одноклассниками, классы в школе и классные руководители соревнуются между собой. За выполнение карточек и ежедневных квестов даются яйца. Как только класс набирает 500 яиц, он проходит марафон, и все участники получают виртуальный трофей. В конце марафона ребятам присылают грамоты как на класс, так и индивидуальные (класс занял 1-3 место в школе, ребёнок занял 1-5 место в классе, возможно, ещё и за сам факт участия – не знаю точно, т.к. наш класс и мой сын всегда были в лидерах). Думаю, если ребёнок зарегистрирован самостоятельно, марафоны будут скучноватыми. У нас зарегистрирована вся школа. Соревновательный процесс полным ходом. И инфоповод, опять же. Дети активно обсуждают всё это дело. И вот теперь об оплате. Очевидно, что дети с полным (оплаченным) доступом будут иметь преимущества и с монетками, и с яйцами в марафоне. Просто потому что ты не ограничен количеством попыток, и можешь набирать яйца хоть до посинения. Я поговорила с сыном. Он прекрасно понял суть. У него достаточно хорошая база знаний (и нет проблем с самооценкой, тьфу тьфу тьфу), поэтому я не вижу смысла платить за то, что для моего ребёнка элементарно, чтобы, простите за каламбур, помериться с одноклассниками яйцами. Каждый день сын тратит полчаса на , вносит свой вклад в марафон пропорционально количеству бесплатных попыток, и всё. Не грустит, не страдает, если он не первый. Один ребёнок в нашем классе сидит за компом все выходные, остервенело набивая яйца. За другого ребёнка задания делает мама. Ну… Что тут комментировать ) Вместо оплаты базовых предметов мы предложили сыну выбрать что-то по интересам. Ребёнок выбрал , его мы оплатили, прошли курс до конца, не пожалели ни об одной потраченной копейке. Под конец с заданиями не справлялась даже я, без помощи супруга мы с сыном не вывезли бы. Но это, действительно, очень интересно! И работающий код приносит какой-то нереальный восторг Подробнее о программировании. Раздел делится на несколько миров. Разумеется, по ходу прохождения есть обучение. Всё начинается по лайту. Работу кода ученик увидит в интерактивном варианте. Плот поплывёт. Снегоуборочная машина поедет. Машина врежется в дерево (если код косячный). Постепенно от примитивных кодов не останется и следа. В процессе прохождения курса есть свои достижения. А по итогу выдаётся диплом об успешном прохождении. Ещё один . Оплачивая какой-либо курс, вы покупаете ежемесячную подписку. Если вы полностью прошли, либо потеряли интерес, не забудьте отключить, иначе ровно через месяц произойдёт очередное списание. На портале есть специальный раздел для родителей, где можно смотреть статистику ребёнка и следить за своими платными подписками, коли таковые имеются. Завершая тему оплаты, хочу ещё раз подчеркнуть, что смотреть нужно на своего ребёнка, его психику и ваши возможности. Однокласснику сына родители купили полный доступ к базовым предметам и не нарадуются, потому что хоть так проявился интерес к учёбе! Родители нашего класса очень хвалят курс по финансовой грамотности, но мой сын пока не горит желанием, потому мы не платили, и мнения, основанного на нашем опыте, у меня нет. А вот задания по шахматам нам нравятся. Подумываем оплатить. Ещё один минус – нереальное количество спама на почту. Каждый день и не по одному разу прилетают предложения об оплате с громкими заголовками «Только сегодня! Только сейчас! Скидка 85%». Реально, ребята меры не знают. И, наконец, самая главная для нас, абсолютно бесплатная плюшка – и . Каждый месяц проводятся несколько бесплатных олимпиад, принять участие в которых может абсолютно любой ребёнок. Дома, в комфортных условиях. На решение заданий даётся один час. Количество набранных баллов покажут сразу по завершении. Где-то через месяц пришлют награду. получит каждый, кто справился хотя бы с одним заданием. Далее градацию точно не помню, врать не буду. Что-то типа если выполнил 80% - получаешь , а промежуточный вариант между сертификатом и дипломом – . Дипломы яркие, стильные. Дети радуются и гордятся собой. Мы свои дипломы распечатали. Я учу ребёнка пробовать свои силы везде. За попытку не побьют. Получилось – класс! Не супер удачно – ну и ладно, невозможно быть первым во всём, призовые места и другим ребяткам оставить нужно))) Все дипломы, кубки и трофеи также можно посмотреть в комнате с динозавриком. Наша неполная коллекция по итогам прошлого года. Несколько заданий из последнего, в чём сын принимал участие. Нам очень нравится, и, конечно, мы рекомендуем сайт и вам. У платформы есть : неадекватно дорогие подписки; некоторые задания содержат ошибки, особенно этим грешат английский и «окружайка»; количество ежедневных бесплатных попыток очень маленькое; количество спама на почту запредельное. Но перевешивают: возможность проходить базовые предметы абсолютно бесплатно; возможность принимать участие во Всероссийских олимпиадах и викторинах; продуманная система награждений и мотивации. забавный игровой формат. Часто слышу от родителей «вот в наше время такого не было, и ничего!». И действительно. Ни-че-го. А я бы с удовольствием занималась в свои 7 лет в игровом формате, а не опостылевшими прописями с крючочками )) Мир меняется. А в том, что некоторые дети зависимы от гаджетов, виноват явно не . Спасибо за внимание к отзыву!	1	https://irecommend.ru/content/vtoroi-god-na-platforme-nash-opyt-plyusy-i-minusy-podvodnye-kamni-olimpiady-stoit-li-oplachi
Английский со второго класса - динозаврики помогут? Купить или нет доступ к английскому?	"Здравствуйте! Рада, что заглянули. О портале Yчи.pу написано уже немало отзывов, и я не буду повторяться и рассказывать о том, как зарегистрироваться или получить скидки… Сегодня хочу поделиться впечатлениями о курсе английского языка для второго класса (или для первого), т.е. для тех, кто изучает «с нуля». Внук познакомился с Yчи.pу, как и многие из-за вынужденного перехода на дистанционное обучение. Английский для его первого класса не был обязательным, но мама купила доступ из страха, что во втором классе начнется английский, о котором рассказывают ужасы. Внук к июню прошел примерно половину курса, и уже по этой половине видно, насколько насыщенной у него будет программа английского во втором классе. Теперь прекрасно понимаю родителей, которые убеждали мою дочь: «Ужас! Кошмар! Без репетитора это невозможно освоить! ». Признаться, сначала я думала, что это просто с программой по английскому намудрили и усложнили. Теперь я убедилась, что все логично и понятно. Да, сразу дети учатся и говорить, и писать, и понимать на слух. НО! Надо посочувствовать учителям: как реализовать такую сложную программу? Когда в классе 15 человек? А каково родителям?! Каждый раз смотреть и разбираться, как выполнить очередное домашнее задание. Современных родителей, а тем более бабушек в школе не так учили, и забылось многое. А если вообще английский не изучали? Вот вам и объяснение панических настроений. Для меня теперь нет сомнений стОит ли покупать доступ к английскому на Yчи.pу. Да! СтОит! Надеюсь, мой отзыв поможет и вам определиться. Попробую рассказать как построены задания и может ли Yчи.pу помочь ребенку изучать язык без стрессов. Поднять настроение помогают динозаврики и фрукты, которыми угощают за выполнение заданий. Первое, что удивило: для слов и выражений не дается перевод! Как учили, например моих ровесников: сначала как произносятся звуки . Потом примерно так: a book – книга, to give – давать, I – я, me – мне, my - мой Give me a book! На Yчи.pу значение понимается либо по смыслу, либо по картинке. Мне такой подход очень нравится. Не требуется заучивать пары слово-перевод. А формируется сразу связь образ – слово. Ведь и на родном языке дети учатся говорить именно так: видят ложку, велосипед… и узнают названия этих предметов – «ложка», «велосипед»… Для меня этот момент восприятия иностранных слов очень ярко проявился следующим образом. Вот короткое ритмичное стихотворение из моего учебника 5 класса: Ski, ski! Ski to me! Don’t ski to the tree! Для тех, кто не учил английский, звучит приблизительно так: «Ски, ски! Ски ту ми! Дон’т ски то э три!» 10 слогов! А перевод на русский звучит ужасно: «Катайся на лыжах, катайся на лыжах! Катись на лыжах ко мне! Не катись на лыжах к дереву!» Прошло больше полувека, а я до сих пор помню эти короткие стихи и для меня слово «ski» не требует перевода. Разработчики Yчи.pу стараются добиться у детей именно такого восприятия английских слов. При этом ученик должен научиться узнавать слово и на слух, и в написании. Например, при изучении темы надо выучить слова; (Чтобы не усложнять отзыв обилием английских слов, буду писать их по-русски, но курсивом). Расскажу, как это реализуется на портале. Появляется картинка с заданием , назову это эпизодом: Ручку надо передвинуть («положить на стол»). Дважды звучит английское «a pen». Потом появляются карандаш и ластик, их тоже надо передвинуть. //Все! Ученика хвалят, он получает «угощение» - один из нарисованных фруктов. Хвалят за то, что передвинул картинку! Ребенок доволен //. Хвалят тоже по-английски Второй эпизод- «Послушай и выбери нужный предмет». При нажатии на верхний значок динамика звучит английское слово. Слушать можно несколько раз. Если не помнишь, или не понимаешь, что оно означает – можно послушать подсказки под предметами. Если неправильно указать предмет, то он выделяется красным, а верхний динамик начинает ритмично увеличиваться – уменьшаться в размерах, как бы подмигивая: «ошибка!». Если все правильно, то предмет выделяется зеленым. И ученика хвалят, «дают яблочко». Подумаешь, сложность, есть ведь подсказки . Ничего трудного! И снова эпизод повторяется с двумя другими предметами. Пока все легко, а четыре фрукта заработаны. Затем эти эпизоды 1 и 2 повторяются для слов (нарисован ранец, а дословный перевод – «школьная сумка», в моем школьном детстве переводили как «портфель» ). 3 эпизод – «Послушай и передай предметы». Один из мальчиков говорит: « . Надо понять, что он просит и переместить нужный предмет ему в руки. Мальчик улыбается и повторяет слово по-английски. Второй тоже просит что-то. Пара предметов обрели хозяев, а наш ученик получает похвалу и фрукт, на этот раз киви Эпизод повторяется, пока все предметы не обретут хозяев. Карточка закрыта и на счет ученика добавляется один балл. Результат: ученик несколько раз услышал звучание шести слов, и смог отличить на слух одно от другого. Следующие карточки содержит задания, направленные на запоминание написания этих слов. Поначалу трудными кажутся такие задания : В первых темах (""Числа"", ""Цвета"") подобные задания вводили внука в ступор, поэтому в помощь ему писали изучаемые слова на листочке. Потом наш ученик втянулся и теперь обходится без шпаргалок. Не стоит думать, что тут все так легко и ученик справится сам. Если изучение идет до занятий в школе, то иногда придется помочь. Например, в этом задании достаточно было подсказать внуку, что двойное ""О"" в английском читается как ""У"", и все оказалось ""легче легкого"". И завершает тему карточка с заданиями, когда слово звучит-написано-нарисовано. И такая структура изучения слов и фраз постоянна: - просто слушаем и узнаем (догадываемся), что это значит - стараемся понять на слух - запоминаем, как это пишется. И тут я восхищаюсь разработчиками: чего только они не придумывают, чтобы по-разному оформить задания. Жаль, тут невозможно реализовать задания, когда ученик сам называет нужные слова по-английски. Поэтому не стоит думать, что занятия на Yчи.pу заменят учителя. Лишь изредка даются правила. Например, образование множественного числа Или использование местоимений Кстати, с местоимениями тоже пришлось дать комментарий. Пояснить, что в русском можно сказать про кошку - ""она"", про кота - ""он"", а в английском только у людей используют ""он/она"", у животных и предметов всегда ""it"". После знакомства с курсом английского на Yчи.pу я с уверенностью рекомендую его купить. Для меня теперь нет сомнений стОит ли покупать доступ к английскому на Yчи.pу. Да! СтОит! И желательно начала изучения в школе. Почему «до»? Чтобы это не было дополнительной «обязаловкой» для школы. Чтобы знакомство с иностранным языком было свободным и непринужденным. Чтобы чуть-чуть, но впереди, чтобы ребенок радовался на уроке «о! я это знаю/слышал/помню». Думаю, с наступлением «дачного» сезона внук забросит занятия на Yчи.pу и к школе подзабудет изученное. Сейчас он занимается в режиме знакомства, это не уроки, отметок нет, никто не проверяет, не надо отчитываться. Захотел – сделал, нет – ну и ладно. Но надеюсь, что после такого знакомства уроки английского будут не страшнее остальных. Если какая-то тема окажется сложной, можно будет ее повторить на Yчи.pу. На мой взгляд, если есть возможность изучать (или повторять) какой-то материал с помощью интерактивных программ, то этим надо активно пользоваться. Веселые динозаврики сопровождают ученика при изучении всех предметов школьной программы. Подводят итоги, хвалят. Создают настроение успеха. На английском похвала каждый раз звучит по-английски: Частенько рядом со старшим братом пристраивается и шестилетка, которому через год в школу. И он уже запомнил и повторяет ""Excelent!"" И оба без перевода знают, что оценка ""Perfect"" выше, чем ""Great"". Английский на Yчи.py полезен родителям: если не изучали или забыли многое, можно самим позаниматься, освежить знания и понять, что от ребенка в школе требуют. Я даже подумывала, а не купить ли себе доступ к французскому, ведь с пятого класса у внуков второй иностранный - французский. А изучал этот язык только зять и, по его утверждению, с уверенностью по-французски может сказать только ""шерше ля фам"", да ""се ля ви"". Чем мне понравился английский на Yчи.pу: Что пошло не так, как ожидалось Порядок изучения тем в классе и на Учи.pу не совпадают. С 1 сентября английский на Учи.pу «обнулился» и все темы надо изучать снова, при этом перескакивать нельзя, все надо изучать по порядку. А я-то в июне надеялась (см. выше) : «Если какая-то тема окажется сложной, можно будет ее повторить на Учи.pу». К сожалению, в начале года так не получится. Вернуться можно будет только к темам, пройденным на Учи.pу. Поэтому еще раз повторюсь: лучше начинать знакомство с английским на Учи.pу ДО изучения в школе. Помогло ли подобное «досрочное» знакомство моему внуку? Да, и еще раз да! За первую четверть по английскому у него твердая «четверка». И особой помощи по английскому не требовалось. Справлялся сам, особенно в сентябре, когда не было рабочих тетрадей. Самой большой трудностью было запомнить написание английских букв. Первое время путал с какой стороны «палочки» у и и высоту маленьких букв , это не считая просто ошибок в словах. Но на Учи.pу этому и не учили. Первая четверть обошлась без «дистанционки». Задания на Учи.pу не задавались, но внук по собственной инициативе занимается с Учи.pу. На Учи.pу регулярно объявляются марафоны: подсчитываются баллы, набранные за определенный период. Это стимулирует детей выполнять задания (карточки), стараясь перегнать остальных по количеству баллов. И если судить по количеству выполненных внуком заданий, английский не уступает остальным школьным предметам. За два школьных месяца внук «прошел» больше половины карточек по английскому. Конечно же, это не означает, что освоил 50% программы. Это означает, что темы, новые для класса, для него будут знакомыми. Например, образование множественного числа или местоимений в Учи.pу он прошел уже дважды (один раз в мае, второй - в октябре). Надеюсь, отзыв помог вам определиться."	1	https://irecommend.ru/content/angliiskii-so-vtorogo-klassa-dinozavriki-pomogut-kupit-ili-net-dostup-k-angliiskomu
Пожалуй самое эффективное обучение для ребенка с дислексией. Uchi. ru	"Привет! Мой старший сын 9 лет - дислексик. При этом учится в обычной общеобразовательной школе, во втором классе. 7 лет - всевозможные логопеды, ноотропы, неврологи, процедуры - наш образ жизни. Сегодня я хочу поделится с нашим опытом в преодолении этой проблемы. Дислексия - врожденная особенность, говоря простыми словами - человек не может читать и соответственно писать. При дислексии - мозг не может видеть порядок букв, они болтаются в пространстве и рассыпаются по всей странице самым причудливым образом. Ребенок физически не может сложить буквы в слово. Дислексия часто сочетается с дисграфией - написание слов превращается в бесконечную угадайку, почти всегда ребенок зеркалит, например вместо слова "" мама "" пишет слово "" амам"", и читает так же. Это очень выматывает мозги, усталость общая, подавленное психическое состояние. Отсюда глупые страшные ошибки во всем. Школа становится пыточной. Найти репетитора в маленьком городе для такого ребенка невозможно. От педагогов я уже ничего не жду, лишь бы не мешали, и не убили бы детскую любознательность. Так же и с ноотропами, ни один из них не дал - сколь нибудь ощутимого эффекта. Как впрочем и процедура микрополяризации головного мозга - у моего сына это вызвало только неконтролируемую агрессию. В таких растрепанных чувствах мы пришли на Учи. ру. Случайно, можно сказать, по ссылке которую дала наша учительница для прохождения какой то никому не нужной олимпиады. Пришли и уже останемся до 9 класса. Учи. ру - это сайт дистанционного образования. Таких тысячи, но именно здесь мы останемся до конца школы. Расскажу, что подходит здесь именно для ребенка с особенностями. Итак, плюсы сайта именно для дислексика: 1. Подходящий для них интерфейс - простая понятная графика. Простые понятные цвета, мозги остаются спокойные, нет визуального шума - который дезориентирует мозг. Это первое правило дислексика. Просто, Коротко, Понятно. 2. Звуковое сопровождение. Глаза видят изображение букв, уши слышат произношение - для обычного человека это естественно, для дислексика - мозгу требуется время и усилие чтобы запомнить слово. И повторение. причем многократно. Чем больше я варюсь в этом, тем больше подозреваю что дислексики не читают вообще, а ВСПОМИНАЮТ слова. 3. Простые и короткие уроки - карточки. Браво, разработчикам, так просто объяснить особенному второклашке шахматы и программирование, ну это уровень Бог. Как они это делают? 4. Система наград и поощрений, система рейтингов. Мой сын оказался честолюбивым, у него проснулся азарт победителя, теперь он хочет быть первым. На портале постоянно происходят квесты, марафоны, игры - нужно что - то собирать, искать, успеть. Это очень мотивирует испуганного школой ребенка. С победой ребенок получает теплые слова поддержки, похвалу, баллы, очки, трофеи, пусть даже и виртуальные. Очень круто. Наверное, Учи. ру делали совместно с лучшими детскими психологами. 5. Урок построен таким образом, что пока не выполнишь правильно текущее задание, следующего не будет. Ошибки делать можно, рано или поздно до ребенка доходит правильный ответ, потом это закрепляется наводящими вопросами или картинками. Для таких детей очень важна возможность сделать ошибку спокойно. Никто не влепит тебе пару с унизительными комментариями. Не зря при обучении таких детей разрешается писать простым карандашом и отмечать ошибки - зеленым. Но только не в наших школах, конечно. 6. Неочевидный плюс - мы занимаемся за ноутбуком, с мышкой. В первое время у ребенка были большие трудности сопоставить курсор на экране, мышь - рукой, и слово в задании. Ежедневные занятия дали положительный результат - теперь сын спокойно управляется с мышкой, а это значит нужная нейронная связь благополучно выстроилась. Каждый навык для дислексика - новая нейронная связь, чем их больше, тем проще ему освоить учебу. 7. Связь с родителем. Мне на эл. почту каждую неделю приходят отчеты по успеваемости ребенка. Хвалят, мотивируют, обращают внимание на возникшие у ребенка трудности. Поскольку сейчас сын делает все сам, без меня, то очень актуально. И еще один неочевидный плюс - ребенок с такими проблемами, как правило очень привязан к обучающему взрослому. Отсюда некоторая несамостоятельность. Учи. ру незаметно решил этот вопрос, с карточками сын справляется один, а где то я вообще не при делах - например, в шахматах. Минусов, как таковых я не нашла. Однако, есть пара неудобных моментов. Первое - Время. школа сжирает максимальное количество времени при нулевой эффективности. Сюда входят только время проведенное в школе, домашнее задание в каких то конских объемах, подготовка к очередным диктантам и контрольным, которые бывают через день. Плюс какие то общественно - школьные дела, обязательные кружки, собрания, ярмарки и прочая дрянь. Свободного времени в течении недели у ребенка нет совсем - только поесть бегом, помыться и спать. На Учи. ру он занимается по выходным - потому что нравится. Второе - учебные программы со школой не совпадают. Особенно это заметно по английскому языку. Если на Учи. ру - учат сначала алфавит, потом написание коротких слов, разговорный английский - то в школе шпарят сразу диктант. Для 2 класса английский диктант? Что они там курят? Вот и получается что разрыв мозга и полное неприятие школы в принципе. На сайте есть несколько бесплатных уроков, которые обновляются каждый день. Если хочешь большего, нужно купить полный курс. В первый месяц нам бесплатных занятий хватало, поэтому ничего покупать я не собиралась, однако сын втянулся, я увидела первые результаты. Доступ к полному курсу на год мы купили. Это обошлось нам в 5400 р. со всеми скидками. Полный доступ включает в себя, помимо школьных предметов, финансовую грамотность, нейроупражнения, анатомию, психологию, шахматы, планирование, ментальную математику, естественно адаптированное под возраст. Впрочем на сайте постоянные скидки по тому или иному событию. Если посчитать все деньги угроханные в бесполезные мероприятия - то 5400 р. кажутся просто как коробок спичек. А результат ЕСТЬ. Итак, за 3 месяца на мой дислексик : - Он ЧИТАЕТ, не знаю как , но читает - медленно, но верно. Не зеркалит, не путает буквы, не глотает окончания. А самое главное начал понимать что прочитал. Для нас это фантастический успех. - Он ПОНЯЛ, как писать на слух, под диктовку. Пусть тоже медленно, теперь не страшно открывать его тетрадки. Это был тот человек, который в Слове ""еще"" мог сделать 4 ошибки. Сейчас короткие слова пишет безошибочно, длинные пока со скрипом. - Ребенок стал уверенным в себе. Школу по прежнему не любит, но остается спокойным, его философское "" Есть такое слово "" надо"". У него больше нет страха, зато есть знания, которые дали ему всевозможные обучайки. Да, школа в этом плане не дала ничего. Все, что он сегодня знает и умеет школу не касается. - Получены оценки за первое полугодие. Тройки по русскому и литературе. Остальные пятерки и четверки. Тройка по этим предметам - уже на балл выше, того с какими знаниями он был на начало учебного года. Я считаю это положительной динамикой, тройка по чтению в общеобразовательной школе для дислексика - очень хорошо. Но теперь мы хотим четверку!!! - Самостоятельность и дисциплинированность. - Далеко идущие планы. Каким то неведомым образом мой дислексик освоил и полюбил программирование. Я, ребенок 90 - х, в этм ничего не понимаю, у меня глаза на лоб лезут, когда я вижу как он пишет программы. На данный момент ребенок мечтает стать разработчиком игр. Я рада, у маленького мужчины есть цель и честолюбие. Вот это самое заметное и основное в его учебе. Конечно, степени дислексии бывают разными, нам повезло, я считаю, у нас минимальная дисфункция. Но, дорогие мамочки, кто столкнулся с этой напастью, не надейтесь ни на кого, никто не даст нам волшебную пилюлю, надейтесь только на себя и верьте своему ребенку. Ищите, что подойдет лично вам. Может, это . На этом прощаюсь. Всем, кто зашел, верьте в себя, ни за что не опускайте руки. Пока!"	1	https://irecommend.ru/content/pozhalui-samoe-effektivnoe-obuchenie-dlya-rebenka-s-disleksiei-uchi-ru
